Question ID,Question,Option,Valid rows,Excluded flagged rows,Human present,LLM present,Both present,Binary percent agreement,Binary Krippendorff alpha
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Other,200,0,4,0,0,0.980000,-0.007576
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Entertainment/escapism,200,0,26,1,0,0.865000,-0.069705
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Information seeking,200,0,112,197,109,0.545000,-0.291262
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Connection/social interaction,200,0,66,22,13,0.690000,0.098995
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Self expression/identity construction,200,0,101,153,74,0.470000,-0.140492
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Status seeking,200,0,24,0,0,0.880000,-0.061170
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Documentation of events,200,0,1,0,0,0.995000,0.000000
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,None of these apply,200,0,24,0,0,0.880000,-0.061170
Q12,Q12. How does the content support its claims or messages?,Generalizations about men/women,200,0,88,93,69,0.785000,0.567169
Q12,Q12. How does the content support its claims or messages?,Personal experience,200,0,47,49,37,0.890000,0.699219
Q12,Q12. How does the content support its claims or messages?,Stories about men/women,200,0,7,9,4,0.960000,0.480469
Q12,Q12. How does the content support its claims or messages?,Cultural/social observations,200,0,55,57,27,0.710000,0.282552
Q12,Q12. How does the content support its claims or messages?,Facts/statistics,200,0,6,3,2,0.975000,0.433078
Q12,Q12. How does the content support its claims or messages?,Moral/religious claims,200,0,11,1,1,0.950000,0.143041
Q12,Q12. How does the content support its claims or messages?,Mixed,200,0,16,0,0,0.920000,-0.039062
Q12,Q12. How does the content support its claims or messages?,No support,200,0,17,0,0,0.915000,-0.041775
Q12,Q12. How does the content support its claims or messages?,Other,200,0,2,0,0,0.990000,-0.002513
Q13,Q13. How are the claims justified?,No justification,200,0,50,0,0,0.750000,-0.140000
Q13,Q13. How are the claims justified?,Anecdotal examples,200,0,56,58,38,0.810000,0.534965
Q13,Q13. How are the claims justified?,Presented as common sense,200,0,99,133,78,0.620000,0.221983
Q13,Q13. How are the claims justified?,References data,200,0,5,3,3,0.990000,0.745536
Q13,Q13. How are the claims justified?,References religion/tradition,200,0,8,7,3,0.955000,0.378182
Q13,Q13. How are the claims justified?,References external sources such as other influencers,200,0,2,0,0,0.990000,-0.002513
Q13,Q13. How are the claims justified?,Other,200,0,6,0,0,0.970000,-0.012690
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to like the content,199,1,0,0,0,1.000000,1.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to share the content,199,1,0,0,0,1.000000,1.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to follow the speaker on social media,199,1,0,0,0,1.000000,1.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for men to follow more traditional gender norms,199,1,38,8,3,0.798995,0.019269
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for men to follow more equitable gender norms,199,1,9,10,0,0.904523,-0.047493
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for women to follow more traditional gender norms,199,1,5,0,0,0.974874,-0.010178
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for women to follow more equitable gender norms,199,1,1,0,0,0.994975,0.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for politicians or social figures to do something,199,1,3,3,2,0.989950,0.662415
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to vote in a different way,199,1,0,0,0,1.000000,1.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Other,199,1,35,0,0,0.824121,-0.093664
