Content ID,Question ID,Flag type,Original value,Cleaned value,Note
EDDY-061,Q2,normalized multi-select formatting,"Mental health, Fitness/self-improvement","Fitness/self-improvement, Mental health",Standardized separators/case/order/exact labels
EDDY-061,Q5,normalized label/case,Does not address masculinity/gender norms,Does not address masculinity or gender norms,Mapped to exact prompt label
EDDY-061,Q18B,shortened other specify,Calls for audience to engage failure,Calls for audience to engage,Prompt requests 1-5 words
EDDY-012,Q1,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-012,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
EDDY-012,Q5,normalized label/case,More regressive,More regressive/traditional/restrictive,Mapped to exact prompt label
EDDY-012,Q6,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-012,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
EDDY-012,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
EDDY-012,Q9,normalized multi-select formatting,No Clear Solution,No clear solution,Standardized separators/case/order/exact labels
EDDY-012,Q10,normalized multi-select formatting,Personal Story,Personal story,Standardized separators/case/order/exact labels
EDDY-012,Q12,normalized multi-select formatting,Personal Experience,Personal experience,Standardized separators/case/order/exact labels
EDDY-012,Q13,normalized multi-select formatting,Anecdotal Examples,Anecdotal examples,Standardized separators/case/order/exact labels
EDDY-012,Q17,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-012,Q18,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-012,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
EDDY-034,Q1,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-034,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
EDDY-034,Q5,normalized label/case,More regressive,More regressive/traditional/restrictive,Mapped to exact prompt label
EDDY-034,Q6,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-034,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
EDDY-034,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
EDDY-034,Q9,normalized multi-select formatting,No Clear Solution,No clear solution,Standardized separators/case/order/exact labels
EDDY-034,Q10,normalized multi-select formatting,Commentary,Commentary/opinion,Standardized separators/case/order/exact labels
EDDY-034,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
EDDY-034,Q12,normalized multi-select formatting,Facts / Statistics,Facts/statistics,Standardized separators/case/order/exact labels
EDDY-034,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
EDDY-034,Q17,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-034,Q18,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-034,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
EDDY-040,Q1,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-040,Q2,normalized multi-select formatting,Mental Health & Gender Issues,"Mental health, Gender issues",Standardized separators/case/order/exact labels
EDDY-040,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
EDDY-040,Q5,normalized label/case,More progressive,More progressive/equitable/expansive,Mapped to exact prompt label
EDDY-040,Q6,normalized label/case,YES,Yes,Mapped to exact prompt label
EDDY-040,Q7,normalized multi-select formatting,Men need to be more emotionally open and heal,Men need to be emotionally open,Standardized separators/case/order/exact labels
EDDY-040,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
EDDY-040,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
EDDY-040,Q9,normalized multi-select formatting,More emotional growth / healing,More emotional growth/healing,Standardized separators/case/order/exact labels
EDDY-040,Q10,normalized multi-select formatting,Commentary / Motivational Speech,"Commentary/opinion, Motivational speech",Standardized separators/case/order/exact labels
EDDY-040,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
EDDY-040,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
EDDY-040,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
EDDY-040,Q17,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-040,Q18,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-052,Q1,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-052,Q2,normalized multi-select formatting,Mental Health,Mental health,Standardized separators/case/order/exact labels
EDDY-052,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
EDDY-052,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
EDDY-052,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
EDDY-052,Q9,normalized multi-select formatting,More emotional growth / healing,More emotional growth/healing,Standardized separators/case/order/exact labels
EDDY-052,Q10,normalized multi-select formatting,Personal Story,Personal story,Standardized separators/case/order/exact labels
EDDY-052,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
EDDY-052,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
EDDY-052,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
EDDY-052,Q17,normalized label/case,NO,No,Mapped to exact prompt label
EDDY-052,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-007,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-007,Q2,normalized multi-select formatting,"Money Status, Family, & Mental Health","Family/children, Money/status, Mental health",Standardized separators/case/order/exact labels
RIX-007,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
RIX-007,Q4,normalized label/case,NO,No,Mapped to exact prompt label
RIX-007,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
RIX-007,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
RIX-007,Q9,normalized multi-select formatting,No Clear Solution,No clear solution,Standardized separators/case/order/exact labels
RIX-007,Q10,normalized multi-select formatting,Personal Story,Personal story,Standardized separators/case/order/exact labels
RIX-007,Q12,normalized multi-select formatting,Personal Experience,Personal experience,Standardized separators/case/order/exact labels
RIX-007,Q13,normalized multi-select formatting,Anecdotal Examples,Anecdotal examples,Standardized separators/case/order/exact labels
RIX-007,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-007,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-007,Q5,conditional normalization,,Does not address masculinity or gender norms,Q4 = No
RIX-007,Q6,conditional normalization,,Not applicable,Q4 = No
RIX-007,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
RIX-009,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-009,Q2,unresolved noncanonical value,Corruption,Corruption,Needs manual review; left as-is
RIX-009,Q2,unresolved noncanonical value,Family Trauma,Family Trauma,Needs manual review; left as-is
RIX-009,Q2,normalized multi-select formatting,Corruption / Family Trauma,"Corruption, Family Trauma",Standardized separators/case/order/exact labels
RIX-009,Q3,normalized multi-select formatting,Commentary / Conversational Content,"Interview/conversational content, Commentary/reaction content",Standardized separators/case/order/exact labels
RIX-009,Q4,normalized label/case,NO,No,Mapped to exact prompt label
RIX-009,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
RIX-009,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
RIX-009,Q9,normalized multi-select formatting,No Clear Solution,No clear solution,Standardized separators/case/order/exact labels
RIX-009,Q10,normalized multi-select formatting,Personal Story,Personal story,Standardized separators/case/order/exact labels
RIX-009,Q12,normalized multi-select formatting,Personal Experience,Personal experience,Standardized separators/case/order/exact labels
RIX-009,Q13,normalized multi-select formatting,Anecdotal Examples,Anecdotal examples,Standardized separators/case/order/exact labels
RIX-009,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-009,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-009,Q5,conditional normalization,,Does not address masculinity or gender norms,Q4 = No
RIX-009,Q6,conditional normalization,,Not applicable,Q4 = No
RIX-009,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
RIX-028,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-028,Q2,normalized multi-select formatting,Family / Mental Health,"Family/children, Mental health",Standardized separators/case/order/exact labels
RIX-028,Q3,unresolved noncanonical value,Self-help Content,Self-help Content,Needs manual review; left as-is
RIX-028,Q3,normalized multi-select formatting,Commentary / Self-help Content,"Commentary/reaction content, Self-help Content",Standardized separators/case/order/exact labels
RIX-028,Q4,normalized label/case,NO,No,Mapped to exact prompt label
RIX-028,Q8,unresolved noncanonical value,Kenyan Social,Kenyan Social,Needs manual review; left as-is
RIX-028,Q8,normalized multi-select formatting,Kenyan Social & Cultural Problems,"Kenyan or Nigerian political/social problems, Kenyan Social",Standardized separators/case/order/exact labels
RIX-028,Q9,normalized multi-select formatting,More emotional growth / healing,More emotional growth/healing,Standardized separators/case/order/exact labels
RIX-028,Q10,normalized multi-select formatting,Commentary / Motivational Speech,"Commentary/opinion, Motivational speech",Standardized separators/case/order/exact labels
RIX-028,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
RIX-028,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
RIX-028,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
RIX-028,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-028,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-028,Q5,conditional normalization,,Does not address masculinity or gender norms,Q4 = No
RIX-028,Q6,conditional normalization,,Not applicable,Q4 = No
RIX-028,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
RIX-072,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-072,Q2,normalized multi-select formatting,Gender Issues,Gender issues,Standardized separators/case/order/exact labels
RIX-072,Q3,normalized multi-select formatting,Commentary Content,Commentary/reaction content,Standardized separators/case/order/exact labels
RIX-072,Q5,normalized label/case,More regressive,More regressive/traditional/restrictive,Mapped to exact prompt label
RIX-072,Q6,normalized label/case,NO,No,Mapped to exact prompt label
RIX-072,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
RIX-072,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
RIX-072,Q9,normalized multi-select formatting,No Clear Solution,No clear solution,Standardized separators/case/order/exact labels
RIX-072,Q10,normalized multi-select formatting,Conversational Content,Other,Standardized separators/case/order/exact labels
RIX-072,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
RIX-072,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
RIX-072,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
RIX-072,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-072,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-072,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
RIX-072,Q10A,missing other specify,,,Q10 includes Other but specify is blank
RIX-082,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-082,Q2,normalized multi-select formatting,Mental Health / Gender Issues,"Mental health, Gender issues",Standardized separators/case/order/exact labels
RIX-082,Q3,normalized multi-select formatting,Commentary Content,Commentary/reaction content,Standardized separators/case/order/exact labels
RIX-082,Q5,normalized label/case,More progressive,More progressive/equitable/expansive,Mapped to exact prompt label
RIX-082,Q6,normalized label/case,YES,Yes,Mapped to exact prompt label
RIX-082,Q7,normalized multi-select formatting,Men need to be more emotionally open and heal,Men need to be emotionally open,Standardized separators/case/order/exact labels
RIX-082,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
RIX-082,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
RIX-082,Q9,normalized multi-select formatting,More emotional growth / healing,More emotional growth/healing,Standardized separators/case/order/exact labels
RIX-082,Q10,normalized multi-select formatting,Commentary Content,Commentary/opinion,Standardized separators/case/order/exact labels
RIX-082,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
RIX-082,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
RIX-082,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
RIX-082,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-082,Q18,normalized label/case,NO,No,Mapped to exact prompt label
RIX-088,Q1,normalized label/case,NO,No,Mapped to exact prompt label
RIX-088,Q2,normalized multi-select formatting,Mental Health,Mental health,Standardized separators/case/order/exact labels
RIX-088,Q3,normalized multi-select formatting,Commentary Content,Commentary/reaction content,Standardized separators/case/order/exact labels
RIX-088,Q5,normalized label/case,More progressive,More progressive/equitable/expansive,Mapped to exact prompt label
RIX-088,Q6,normalized label/case,YES,Yes,Mapped to exact prompt label
RIX-088,Q7,normalized multi-select formatting,Men need to be more emotionally open and heal,Men need to be emotionally open,Standardized separators/case/order/exact labels
RIX-088,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
RIX-088,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
RIX-088,Q9,normalized multi-select formatting,More emotional growth / healing,More emotional growth/healing,Standardized separators/case/order/exact labels
RIX-088,Q10,normalized multi-select formatting,Commentary Content / Motivational Speech,"Commentary/opinion, Motivational speech",Standardized separators/case/order/exact labels
RIX-088,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
RIX-088,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
RIX-088,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
RIX-088,Q17,normalized label/case,NO,No,Mapped to exact prompt label
RIX-088,Q18,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-001,Q1,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-001,Q2,normalized multi-select formatting,Family,Family/children,Standardized separators/case/order/exact labels
PHIL-001,Q3,normalized multi-select formatting,Conversational Content,Interview/conversational content,Standardized separators/case/order/exact labels
PHIL-001,Q4,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-001,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
PHIL-001,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
PHIL-001,Q9,normalized multi-select formatting,NO Clear Solution,No clear solution,Standardized separators/case/order/exact labels
PHIL-001,Q10,normalized multi-select formatting,Conversational Content,Other,Standardized separators/case/order/exact labels
PHIL-001,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
PHIL-001,Q12,normalized multi-select formatting,Cultural / Social Observations,Cultural/social observations,Standardized separators/case/order/exact labels
PHIL-001,Q13,normalized multi-select formatting,No Justification,No justification,Standardized separators/case/order/exact labels
PHIL-001,Q17,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-001,Q18,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-001,Q5,conditional normalization,,Does not address masculinity or gender norms,Q4 = No
PHIL-001,Q6,conditional normalization,,Not applicable,Q4 = No
PHIL-001,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
PHIL-001,Q10A,missing other specify,,,Q10 includes Other but specify is blank
PHIL-002,Q1,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-002,Q2,normalized multi-select formatting,Mental Health / Trauma,Mental health,Standardized separators/case/order/exact labels
PHIL-002,Q3,normalized multi-select formatting,Conversational Content,Interview/conversational content,Standardized separators/case/order/exact labels
PHIL-002,Q4,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-002,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
PHIL-002,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
PHIL-002,Q9,normalized multi-select formatting,NO Clear Solution,No clear solution,Standardized separators/case/order/exact labels
PHIL-002,Q10,normalized multi-select formatting,Conversational Content,Other,Standardized separators/case/order/exact labels
PHIL-002,Q11,normalized multi-select formatting,Identity Construction,Self expression/identity construction,Standardized separators/case/order/exact labels
PHIL-002,Q12,normalized multi-select formatting,Personal Experience,Personal experience,Standardized separators/case/order/exact labels
PHIL-002,Q13,normalized multi-select formatting,Anecdotal Examples,Anecdotal examples,Standardized separators/case/order/exact labels
PHIL-002,Q17,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-002,Q18,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-002,Q5,conditional normalization,,Does not address masculinity or gender norms,Q4 = No
PHIL-002,Q6,conditional normalization,,Not applicable,Q4 = No
PHIL-002,Q7,conditional normalization,,Not applicable,Q6 = No/Not applicable
PHIL-002,Q10A,missing other specify,,,Q10 includes Other but specify is blank
PHIL-005,Q1,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-005,Q2,unresolved noncanonical value,Corruption,Corruption,Needs manual review; left as-is
PHIL-005,Q2,normalized multi-select formatting,Social Issues / Corruption,"Social issues, Corruption",Standardized separators/case/order/exact labels
PHIL-005,Q3,normalized multi-select formatting,Commentary Content,Commentary/reaction content,Standardized separators/case/order/exact labels
PHIL-005,Q4,normalized label/case,NO,No,Mapped to exact prompt label
PHIL-005,Q8,unresolved noncanonical value,Kenyan Cultural Problems,Kenyan Cultural Problems,Needs manual review; left as-is
PHIL-005,Q8,normalized multi-select formatting,Mental Health / Kenyan Cultural Problems,"Mental health/emotional struggle, Kenyan Cultural Problems",Standardized separators/case/order/exact labels
