dataset,country,row_id,source_sheet,creator,orientation,platform,source_url,content_type,context,text,themes,primary_theme,sentiment,emotions,framing,argument_type,toxicity_0_3,misogyny_0_3,hate_speech,women_portrayal,moral_foundations,key_terms,rationale
content,Kenya,EDDY-011,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy reflects on his own conduct during the period of marriage breakdown],I had done them either out of ignorance um of course ego was part of it. Again making wrong decisions was like any other man would do you make wrong decisions from time to time in life. But I didn't have the tools to to deal with all that. I did not even know there were tools to deal with that to mend that. So I just wallowed in my space that I got into.,"[""male self-improvement/discipline/purpose"", ""mental health/trauma/healing"", ""relationships/love/loyalty""]",mental health/trauma/healing,negative,"[""frustration"", ""regret""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""ignorance"", ""ego"", ""wrong decisions"", ""tools"", ""wallowed""]","The speaker reflects on personal shortcomings and the lack of tools for dealing with emotional issues, indicating a focus on mental health and self-improvement."
content,Kenya,EDDY-012,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy explains why he didn't communicate with his wife during the dark period — his explicit framing of 'because I'm the man'],It got into a point where we we didn't talk as frequent as we were supposed to. Remember we have two sons so for obvious reasons we are supposed to be constantly talking. And a lot of that was to do with my ego and also thinking as much as I've got this problem uh I'll deal with it by myself. Little did I know I'm just digging my hole deeper and deeper deeper and deeper out of ignorance out of thinking I'm doing the right thing. And why am I thinking I'm doing the right thing? Because I'm the man. That was my thinking at the time. There's nothing wrong with with you believing you're doing the right thing in life but sometimes I think when it's not well informed when it's not well directed you'll you are bound to really have some toxic masculinity.,"[""mental health/trauma/healing"", ""gender roles and expectations"", ""relationships/love/loyalty""]",gender roles and expectations,negative,"[""frustration"", ""regret""]",vulnerability/healing,personal story,2,0,none,not present,"[""loyalty/betrayal"", ""care/harm""]","[""ego"", ""toxic masculinity"", ""communication"", ""ignorance""]","The content discusses the impact of traditional gender roles on communication in relationships, highlighting the negative effects of toxic masculinity."
content,Kenya,EDDY-013,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy describes how he ended up in Diani after his Nakuru contract ended and his marriage had collapsed],But deep down what I was doing I was running away from my problems. I was running away from my responsibilities. Responsibility to myself as Eddie Kimani and responsibility of trying to mend things back at home. So I ended up in Ukunda. And it it is a time I wouldn't wish it for anybody and if anybody is going through it right now there's always a way a way of dealing with it. Now through that cycle I ended up now gigs ran out I was not doing anything.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""relationships/love/loyalty""]",mental health/trauma/healing,negative,"[""regret"", ""sadness""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""responsibility"", ""problems"", ""mend"", ""dealing""]","The content reflects on personal struggles with responsibility and mental health, emphasizing vulnerability and healing."
content,Kenya,EDDY-014,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy reveals — for the first time on this show — that he had decided to take his own life the night before meeting Peter at the bakery in Diani],I call it my Damascus moment cause a night or two before that I I had concluded that I'll take away I'll take my own life. And I think what saved me was I I think I blacked out or something like that. Cause I woke up in the morning like okay I need to do something about this. I was so convinced I've had enough. I was so convinced I've reached the end. I was so convinced I don't need to go through this anymore. But remember all this time I'm just talking about me me me me. I'm forgetting there's this other side that I need also to deal with.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,negative,"[""despair"", ""hope""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""Damascus moment"", ""take my own life"", ""blackout"", ""do something""]","The content focuses on a personal struggle with mental health and the realization of the need for change, emphasizing vulnerability and healing."
content,Kenya,EDDY-015,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy describes the four-hour conversation with Peter — a stranger who became his lifeline],I ended up sitting there talking to him for almost 3 hours. Talking about him he listened he didn't judge me. He didn't point anything at me he did not say Eddie you should have done this. The way we would normally do. Like why why did you do that. So it became a situation whereby I didn't know I was some form of therapy that I was going through. Cause what I needed at the time was just to open up without judgment and not to be criticized.,"[""mental health/trauma/healing"", ""relationships/love/loyalty"", ""gender roles and expectations""]",mental health/trauma/healing,positive,"[""relief"", ""gratitude""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""therapy"", ""judgment"", ""open up""]","The content focuses on a supportive conversation that facilitated healing without judgment, highlighting themes of mental health and relationships."
content,Kenya,EDDY-016,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy makes one of his sharpest critiques of how Kenyan masculinity restricts when men are 'allowed' to feel],I'd want to see a man cry if he really feels like crying. Unfortunately we live in a world where men show emotions in two scenarios. You could tell me if there's another one. I've only seen men crying at a funeral and during a sporting event.,"[""gender roles and expectations"", ""mental health/trauma/healing""]",gender roles and expectations,negative,"[""sadness""]",vulnerability/healing,social critique,0,0,none,not present,"[""care/harm"", ""liberty/oppression""]","[""cry"", ""emotions"", ""masculinity""]","The content critiques the restrictive nature of masculinity regarding emotional expression, highlighting the limited scenarios in which men are allowed to cry."
content,Kenya,EDDY-017,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy frames male self-care as central to mental health],To be taken care of by just being self compassionate about about yourself. We need also to to to worry about ourselves. We need to take care of ourselves our well-being self care is very important.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,positive,"[""caring"", ""hopeful""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm""]","[""self-care"", ""well-being"", ""self-compassion""]","The content emphasizes the importance of self-care and compassion for mental health, aligning with themes of healing and self-improvement."
content,Kenya,EDDY-018,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,"[Eddy explains why men's heavy drinking and infidelity should be understood as depression coping mechanisms, not character flaws]",When you're in this space when you're depressed and and everything has just collapsed around you you look for coping mechanisms. And these coping mechanisms can be anything. It's not only alcohol. Coping mechanisms can go to the extreme. They are not doing it deliberately they are thinking they are just dealing they are just satisfying a need. But what they are fighting are some different type of elements that for them that seems like it's the only way to calm things down.,"[""mental health/trauma/healing"", ""gender roles and expectations"", ""relationships/love/loyalty""]",mental health/trauma/healing,neutral,[],vulnerability/healing,social critique,0,0,none,not present,"[""care/harm""]","[""depression"", ""coping mechanisms"", ""alcohol""]","The content discusses men's coping mechanisms related to depression, framing it in a way that emphasizes understanding rather than judgment."
content,Kenya,EDDY-019,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy critiques how Kenyans only associate mental health with the Mathare psychiatric institution],When you talk about mental health you immediately think ah mathare. Mathare. And which is a very important institution in this country right now. You have a dark description on it. We don't have anything aspirational to talk. About taking care of your mental health. The way you walk into a gym and you see a poster of a built guy with a six pack you tell yourself I want to look like that. Why can I not see a photo of for example Eliud Kipchoge somewhere and say he's an aspiration to my the kind of mental health or mental well-being that I want in my life.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""gender roles and expectations""]",mental health/trauma/healing,negative,[],vulnerability/healing,social critique,0,0,none,not present,"[""care/harm"", ""fairness/cheating""]","[""mental health"", ""Mathare"", ""aspiration"", ""Eliud Kipchoge""]","The content critiques the narrow perception of mental health in Kenya, emphasizing the need for aspirational figures in mental well-being."
content,Kenya,EDDY-020,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy explains why he is using barbershops as the centerpiece for his men's mental health initiative],"We want to collaborate with barbershops and barbers because this is one of the few if not the only spaces that we have as men where our guards are completely down. We have very authentic conversations. We talk about sports and we get very emotional. But why not see how we can weave around this space and let one of the conversations be about our own mental health, well-being? Because it's the only place where I can comfortably sit with a man with a blade on top of my head and feel not threatened. I trust my baba.","[""mental health/trauma/healing"", ""gender roles and expectations"", ""relationships/love/loyalty""]",mental health/trauma/healing,positive,"[""trust"", ""vulnerability""]",vulnerability/healing,social critique,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""barbershops"", ""mental health"", ""authentic conversations"", ""trust""]","The content focuses on creating a safe space for men to discuss mental health, emphasizing vulnerability and trust in relationships."
content,Kenya,EDDY-021,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy explains the additional pressure of going through depression while being publicly known],Sometimes when you're in the public domain you're treated more harshly because the spotlight is on you. So it becomes even harder to deal with some of these very glaring faux pas about normal things that happens to everybody everyday life. And people connect with you at that level. You are this guy.,"[""mental health/trauma/healing"", ""gender roles and expectations""]",mental health/trauma/healing,neutral,[],vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""fairness/cheating""]","[""public domain"", ""spotlight"", ""faux pas"", ""normal things""]","The content discusses the challenges of mental health in the public eye, focusing on vulnerability and societal expectations."
content,Kenya,EDDY-022,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy advises public figures going through hard times — humility is key],Humbleness is very important because what happens that when you get elevated and you're given this sense of power and cause it's almost as having control of of something over you of over who you are and commanding attention here and there and that can get to your mind. It got into my mind. So you also have to learn how to be you know humility is very important especially in this day and age cause once you're knocked off we have you have more to deal with now in terms of how you've been exposed.,"[""male self-improvement/discipline/purpose"", ""mental health/trauma/healing""]",male self-improvement/discipline/purpose,positive,[],vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""humility"", ""power"", ""control"", ""exposure""]","The content emphasizes the importance of humility and self-awareness, aligning with themes of self-improvement and mental health."
content,Kenya,EDDY-023,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Spice FM 'Adults in the Room'),,Radio Interview,[Eddy answers Eric's question about how men should support friends going through crisis],It could start by having interest about your friends. And not interest about where are we going to have our next beer not having interest of where where are we going to watch the next Formula 1 race. But it could go deep down to the point where you need to you you and there are ways of doing it. We also need to be able to reciprocate to it cause I might be a very very good friend and I'm concerned about you but you do not want to open up. And there's no way I'll be your friend and you're going through something and I if I'm honest with myself as your friend not want to help you.,"[""relationships/love/loyalty"", ""mental health/trauma/healing"", ""equality/reciprocity/mutual respect""]",mental health/trauma/healing,positive,"[""concern"", ""support""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm"", ""fairness/cheating"", ""loyalty/betrayal""]","[""friends"", ""support"", ""reciprocate"", ""open up""]","The content emphasizes the importance of deepening friendships and supporting friends in crisis, aligning with themes of mental health and mutual respect."
content,Kenya,EDDY-024,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy explains why he chose to share his story publicly at Engage rather than the safer New York-musical story],"It would be very selfish of you to be given such a platform and not share your story. It might impact one or two people, it might change their lives, it might make them see also me as a mirror of what they're going through in their lives. So I said okay, fine, let me twist this and just share my story. It was a painful pinch of salt to swallow because I had to make a decision to undress myself in the public.","[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""relationships/love/loyalty""]",mental health/trauma/healing,positive,"[""vulnerability""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""platform"", ""story"", ""impact"", ""mirror"", ""decision""]","The content focuses on the importance of sharing personal experiences for healing and connection, reflecting a positive sentiment and vulnerability."
content,Kenya,EDDY-025,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy describes what stood out from his Engage talk],"Admitting that I failed. Kuaccept kwamba nilimake mistakes mob. Kuaccept and revealing that I failed my marriage. Admitting that I made wrong decisions about business. Admitting that I failed personally as a man, as a father. And I think also being an actor helped because you end up wearing masks, which is something that a lot of men are grappling with. The society is harsh on men. It's very, very harsh on men right now.","[""male self-improvement/discipline/purpose"", ""family/fatherhood/parenting"", ""mental health/trauma/healing""]",male self-improvement/discipline/purpose,positive,"[""vulnerability""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""failure"", ""marriage"", ""mistakes"", ""father"", ""society""]","The content focuses on personal failures and the challenges men face, emphasizing vulnerability and self-improvement."
content,Kenya,EDDY-026,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy describes how he reconciled with his eldest son after the separation],"For my children, whom I'd also failed for quite a while, the young kids, the firstborn is just turning, turned 15 this year. The first thing I did as part of reconciliation with him also was to learn to love him again, to learn who he was. And sitting him down and letting him see that Engage video. We sat down together and watched it. I just called him aside and told him, I have something I need to show you. And we sat. He watched and I apologized. The only thing that I really believe works when it comes to reconciliation is being honest with yourself and honest with the person you're trying to reconcile with.","[""family/fatherhood/parenting"", ""relationships/love/loyalty"", ""mental health/trauma/healing""]",family/fatherhood/parenting,positive,"[""love"", ""regret""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""reconciliation"", ""honesty"", ""apology""]","The content focuses on a father's journey to reconcile with his son, emphasizing love, honesty, and healing, which aligns with themes of family and mental health."
content,Kenya,EDDY-027,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy directly names the Swahili phrases used to enforce male emotional suppression],"Once you learn and embrace that especially for men, being weak is normal. It's good to be weak. We were raised in a society that tells us... be strong. Yes, man, brace yourself and toughen up. Men are not supposed to talk because even that idea of toughening up is repeated in different ways. You'll find situations where you want to share something with your fellow brother but you can't because you think they will... men don't do that. But that's what society has taught us. Men don't cry. Men don't show emotions. Men don't fail!","[""mental health/trauma/healing"", ""gender roles and expectations"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,positive,"[""vulnerability""]",vulnerability/healing,social critique,0,0,none,not present,"[""care/harm"", ""liberty/oppression""]","[""weak"", ""strong"", ""emotions"", ""society""]","The content critiques societal expectations of masculinity and promotes the acceptance of vulnerability, aligning with themes of mental health and gender roles."
content,Kenya,EDDY-028,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy directly addresses the gender-relations dimension of his message — refusing to scapegoat women],"It's hard for me to say this, but men should understand that women are not to blame because they are rising up. They are rising up. But men should not feel that they are being weak because women are rising up.","[""gender roles and expectations"", ""equality/reciprocity/mutual respect""]",gender roles and expectations,positive,[],equality/reciprocity,social critique,0,0,none,positive/equal/respected,"[""fairness/cheating"", ""loyalty/betrayal""]","[""men"", ""women"", ""rising up""]","The content promotes understanding and respect between genders, emphasizing that men's feelings of weakness are unfounded as women rise in society."
content,Kenya,EDDY-029,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy describes the wave of women asking him to help their depressed husbands — and his caution],"I'm getting also feedback from ladies asking me to help their husbands because they feel the husband does not want to be helped. Now that one you have to be careful because again I can't start engaging somebody who may not want or is not ready to be helped. He may ask, why are you talking to my wife, what business do you have with her?","[""mental health/trauma/healing"", ""relationships/love/loyalty"", ""gender roles and expectations""]",mental health/trauma/healing,neutral,[],vulnerability/healing,advice/prescription,0,0,none,positive/equal/respected,"[""care/harm"", ""loyalty/betrayal""]","[""help"", ""husbands"", ""feedback"", ""careful""]","The content discusses the complexities of helping men with mental health issues while respecting their autonomy, reflecting a focus on healing and relationships."
content,Kenya,EDDY-030,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy lists the things that helped him beyond the Engage talk],"I realized forgiveness is one key thing. I had to forgive myself. I had to ask for forgiveness from my wife, from my family. I had to of course approach God in a different way because we cannot talk about straightening up your life without involving God. And that really has helped me a lot being closer to Him. And also what has helped me a lot is understanding that it's my kids who need me more than the other way around.","[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""religion/morality/spirituality""]",mental health/trauma/healing,positive,"[""forgiveness"", ""connection"", ""responsibility""]",vulnerability/healing,personal story,0,0,none,positive/equal/respected,"[""care/harm"", ""loyalty/betrayal"", ""authority/subversion""]","[""forgiveness"", ""God"", ""family"", ""kids""]","The content emphasizes personal healing through forgiveness and the importance of family, aligning with themes of mental health and spirituality."
content,Kenya,EDDY-031,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy frames his recovery as a gift to his sons specifically],"One of the best gifts and I keep on saying this is to make my kids realize that when you fail, it's possible to stand up again and move. It's a gift I'd like to give them every day because they are growing, they're boys. But I'd like also for them to see that it's possible to be an upright man, to be a man who's respected in the society and just really embody what a real man is all about. I have that responsibility now as a father and I've dedicated my life now to do that.","[""family/fatherhood/parenting"", ""male self-improvement/discipline/purpose"", ""relationships/love/loyalty""]",family/fatherhood/parenting,positive,"[""hope"", ""pride""]",family/fatherhood,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""gift"", ""failure"", ""upright man"", ""responsibility""]","The content emphasizes the father's role in teaching resilience and positive masculinity to his sons, reflecting a focus on family and self-improvement."
content,Kenya,EDDY-032,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy warns of what happens to men who continue suppressing emotions],"We will continue having broken men. We'll continue having broken men, men who are not ready to because I also believe that men will become so numbed in struggling to keep that status that you're a man, you don't need to cry. So we've gone numb that we are not able to show feelings because we've been told by the society that you as a man is not supposed to cry. A man is not supposed to say when he's down. A man is not supposed to reach out and look for help.","[""mental health/trauma/healing"", ""gender roles and expectations"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,negative,"[""sadness"", ""frustration""]",vulnerability/healing,social critique,1,0,none,not present,"[""care/harm"", ""liberty/oppression""]","[""broken men"", ""numb"", ""feelings"", ""help""]","The content critiques societal expectations on men regarding emotional expression, highlighting the negative impact on mental health."
content,Kenya,EDDY-033,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,Radio (Hot 96 Drive),,Radio Interview,[Eddy's closing words on the show],"Men, it's good to be weak, it's good to fail, because you can still stand up and try again. And it's okay not to be okay.","[""male self-improvement/discipline/purpose"", ""mental health/trauma/healing""]",mental health/trauma/healing,positive,"[""hopeful""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm""]","[""weak"", ""fail"", ""try again"", ""not okay""]","The content promotes vulnerability and mental health awareness, encouraging men to embrace failure and seek improvement."
