text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
I fight it and live,0,,2025-07-21T06:14:51.000Z,msaita,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6773910724626859014,7529414659264381702,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1ee876f7ce8ffc0477910a2c5dac7450~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ecad5c6&x-expires=1775613600&x-signature=qEwD1Rg2I9am4qfiEyb%2BtzUcHJo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,I fight it and live,i fight it and live,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
and you a car or cars huyu kijana aambiwe anyenyekee,1,,2025-07-21T12:04:24.000Z,natashawairimu813,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6999615366407259141,7529504807062340408,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9ab5785608e842822a7f239e26b184f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1f8bfad3&x-expires=1775613600&x-signature=00edlovo3OrsPck%2BcwNU4ijZH2g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,and you a car or cars huyu kijana aambiwe anyenyekee,and you a car or cars huyu kijana aambiwe anyenyekee,v2,10,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
the fact that you are proud of that makes you a decent human,0,,2025-07-25T06:08:22.000Z,jeffreyjeffy,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6850380146269815813,7530897380071179064,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7323897670026608645~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a6dd4992&x-expires=1775613600&x-signature=asbDMVihr0rzqWrmV9Ugkr3jbhs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,the fact that you are proud of that makes you a decent human,the fact that you are proud of that makes you a decent human,v2,13,True,False,False,False,False,False,False,True,False,True,substantive_v2_len
wachana na social media dear,1,,2025-07-21T19:33:27.000Z,the.millionaire.g6,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7194174806244967430,7529620532984873734,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/ba5ffb9fef3564325221426191050a71~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=151b064f&x-expires=1775613600&x-signature=VjtWnal7KPRzyM4wznFlBwq1jKM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,wachana na social media dear,wachana na social media dear,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
you are about to get another one soon bro,0,,2025-09-02T18:57:32.000Z,www.tiktok7.com.captain,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7259304362567058437,7545567960413340422,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dab906bf079f869d8dbf95b4af68f668~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2ec6c5f8&x-expires=1775613600&x-signature=lfAn03egaIwwT1gYakPOSHozOuI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,you are about to get another one soon bro,you are about to get another one soon bro,v2,9,False,False,False,False,False,False,False,False,False,True,substantive_v2_len
imagine mpaka nafurahi nikiwa hapa peke yangu,1,,2025-07-21T16:15:00.000Z,nicholas.ngaithe,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7229775247237628934,7529569385805054725,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/584266a1a7e258aa39d62e7772f86bfc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32da1ed4&x-expires=1775613600&x-signature=dPfaPBXj%2FS6VkYbEM4VTQdShUU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,imagine mpaka nafurahi nikiwa hapa peke yangu,imagine mpaka nafurahi nikiwa hapa peke yangu,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Me too n am not regretting,0,,2025-07-21T15:21:01.000Z,drhouse04,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7291153567402263558,7529555479473161016,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/39d66e16dcde7b49137e0d2e21ab0d5b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eb0daddf&x-expires=1775613600&x-signature=WO0cZgypgF3OF0Zh0mAocxsJg84%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Me too n am not regretting,me too n am not regretting,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Ukifika 40 we are just praying for good health and peace,3,,2025-07-21T05:05:53.000Z,gladwellnganga3,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6849766081366000646,7529396912697901880,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/822f2d2ea5f64ea9d585874c8a38af21~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a64dd2ab&x-expires=1775613600&x-signature=Eg1d3SuhsrTbTCtSCf7hHAcUOZE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Ukifika 40 we are just praying for good health and peace,ukifika 40 we are just praying for good health and peace,v2,11,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
good health is one of the biggest wealthy we can have,2,,2025-07-21T04:58:47.000Z,essy0950,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7389254923412915205,7529395099726611256,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/bf1e0f4c546e7628f0840b0c902f80fc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=07292644&x-expires=1775613600&x-signature=GfKC%2F3aCTc2jdERJXrVZIfV%2Fw6Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,good health is one of the biggest wealthy we can have,good health is one of the biggest wealthy we can have,v2,11,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
"i perfectly understand you
it shall be well",3,,2025-07-23T17:05:42.000Z,gathoni2003,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6616392475550826502,7530323638752346885,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/99fcdca9bd305e2c4758f63476e669a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f5bcc523&x-expires=1775613600&x-signature=%2B4Aov4MeAukvYLl5qQW9NRN3j34%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,"i perfectly understand you
it shall be well",i perfectly understand you it shall be well,v2,8,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
How is your wife and siblings treating you,1,,2025-07-23T09:31:48.000Z,godsgeneral9,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7296569291087561733,7530207660625412920,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9f0930ffa815520d873852dc4c4cce33~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f520829b&x-expires=1775613600&x-signature=LoR2kQPRgjmvRfTLQl%2F9ZfFBMdU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,How is your wife and siblings treating you,how is your wife and siblings treating you,v2,8,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
Open up to your wife,0,,2025-07-23T09:54:17.000Z,godsgeneral9,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7296569291087561733,7530213437767959302,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9f0930ffa815520d873852dc4c4cce33~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f520829b&x-expires=1775613600&x-signature=LoR2kQPRgjmvRfTLQl%2F9ZfFBMdU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Open up to your wife,open up to your wife,v2,5,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
with a car you can jump from A to C bypassing B,1,,2025-07-31T21:22:15.000Z,its.isaac.k2,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7261672951153361925,7533359417095029509,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/c6a2dd566d685751828bbf5da7b0459b~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=aed6c59d&x-expires=1775613600&x-signature=SF1FYDjP%2FAH5tn8OfOdcvQX474k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,with a car you can jump from A to C bypassing B,with a car you can jump from a to c bypassing b,v2,12,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
itajipa my dear coast tunakutambua,1,,2025-07-21T06:01:42.000Z,maureenapiyo388,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7508733150458872840,7529408178103862022,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/198b5f890793cd4cebb4b779231d2ae6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=30da33d8&x-expires=1775613600&x-signature=EQCAfTbm2IDQV2lMr4RjD2mppik%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,itajipa my dear coast tunakutambua,itajipa my dear coast tunakutambua,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
You will get well dear,1,,2025-07-21T14:55:09.000Z,thefreedom_builder1,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6759782622778082310,7529548821672903480,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/0ff97b4b5d8060a94a0ea5974931e89a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aa3ea029&x-expires=1775613600&x-signature=1mSyXbN8ey6bERnqUtPBwMvigG4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,You will get well dear,you will get well dear,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Uyo jamaa ni fala tu sijai mpenda,2,,2025-07-21T09:49:48.000Z,dinoezra2,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6947049245061972997,7529470096407692038,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/b6dc09bbfc28ca3456fe24050e3cd589~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2a874aa1&x-expires=1775613600&x-signature=mY%2Bsk2XFPchSA8o7oMqUU4bbkUA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Uyo jamaa ni fala tu sijai mpenda,uyo jamaa ni fala tu sijai mpenda,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
the exact words i was looking for,0,,2025-07-21T15:16:09.000Z,ismail_trublu,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6888276585617146885,7529552925686514437,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d161088116834c7bfc6ff816cd88d63a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=326efe61&x-expires=1775613600&x-signature=2QnmbW6OcEItzcUqNS0rdArBPwY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,the exact words i was looking for,the exact words i was looking for,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
go and watch it was so painful haki,0,,2025-07-21T06:51:50.000Z,nyar.onyango76,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7364283204680090629,7529424237912933125,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3f2fc0e3841fb208c7ad79f52cac5310~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8aa5d7a1&x-expires=1775613600&x-signature=PfmfdUVrSwxT8C0AQ5gJfuoipYY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,go and watch it was so painful haki,go and watch it was so painful haki,v2,8,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
Both are liabilities but one got to choose what kind of liability suits them,7,,2025-07-22T05:24:49.000Z,meeee4056,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7335154211522839557,7529772846656242488,https://p16-common-sign.tiktokcdn-eu.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=82ac80db&x-expires=1775613600&x-signature=GJvx%2Fqx7Fyn5QgBFsJ10YpCR7xY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Both are liabilities but one got to choose what kind of liability suits them,both are liabilities but one got to choose what kind of liability suits them,v2,14,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
mimi apa a beneficiary of car hire every day u get even high end companies hiring cars juu maintaining fleets is not possible,1,,2025-07-21T11:22:59.000Z,mheshi.p.n.n,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7424955373603881989,7529494115266233094,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a31a2eb65c4dd7e2233fd650e44ba2e5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9f5f089f&x-expires=1775613600&x-signature=YNbduw5qDK7IZ4auyVlFrxGBeC0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,mimi apa a beneficiary of car hire every day u get even high end companies hiring cars juu maintaining fleets is not possible,mimi apa a beneficiary of car hire every day u get even high end companies hiring cars juu maintaining fleets is not possible,v2,23,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
he is now complaining that people have boycotted his services,5,13.0,2025-07-21T10:41:43.000Z,tymeizyusuf,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6835922418814780422,7529483504833790725,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a46ea501def731bfe2f1808c655ed26c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=65bc31f7&x-expires=1775613600&x-signature=WSaZLTrWNi%2FHHMApC3z2RTQeK4w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,he is now complaining that people have boycotted his services,he is now complaining that people have boycotted his services,v2,10,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
Irony is that the same guy owns a matatu called SPAKY,33,5.0,2025-07-21T02:32:27.000Z,bryohane,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7440352299493835831,7529357407739249464,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d8459b95f5a6c14a97e841af3309ad4a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2e4afd23&x-expires=1775613600&x-signature=wbJxCGMrakejhmLbgEal6wJMqCo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Irony is that the same guy owns a matatu called SPAKY,irony is that the same guy owns a matatu called spaky,v2,11,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
Obado is still a billionaire hiyo ni story yako umejiundia,0,,2025-07-21T18:07:25.000Z,_fh567,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6929916533041054721,7529598359012590392,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/743959c51281e80159d0d85cac5d9230~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=feed0db7&x-expires=1775613600&x-signature=dv0lED0Mi6Gt0VJsOH%2Bprl8nYD0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Obado is still a billionaire hiyo ni story yako umejiundia,obado is still a billionaire hiyo ni story yako umejiundia,v2,10,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
Pride comes before a fall,1,,2025-07-27T11:16:10.000Z,kizee282,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7223778788260725765,7531718895309505285,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/53765c4abe29ee8508d3e85e5a312d47~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f24ad261&x-expires=1775613600&x-signature=Y%2Bvx92BNjvudS71ZwVHbym20oNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Pride comes before a fall,pride comes before a fall,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
ako in a different stage,0,,2025-07-29T04:22:20.000Z,7.odogwu,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7100165125927781381,7532352295699776262,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7104490606679818242~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=78f83906&x-expires=1775613600&x-signature=mM4F6OeBgn36GzeAo4brQ1B57nY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,ako in a different stage,ako in a different stage,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
was asking the same question,4,,2025-07-21T12:27:16.000Z,catherineoyugi178,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7055346648193500166,7529510707986776838,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0e792c1c921f789be20487fbcf1da0ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d5f7a6c5&x-expires=1775613600&x-signature=e0EP4GsiU1CIS0e2fVZFIe%2Fiq9M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,was asking the same question,was asking the same question,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
