Content ID,Human_Q1,LLM_Q1,Exact_Q1,Human_Q1A,LLM_Q1A,Exact_Q1A,Jaccard_Q1A,Human_Q2,LLM_Q2,Exact_Q2,Jaccard_Q2,Human_Q3,LLM_Q3,Exact_Q3,Human_Q4,LLM_Q4,Exact_Q4,Human_Q5,LLM_Q5,Exact_Q5,Human_Q6,LLM_Q6,Exact_Q6,Human_Q7,LLM_Q7,Exact_Q7,Jaccard_Q7,Human_Q8,LLM_Q8,Exact_Q8,Jaccard_Q8,Human_Q9,LLM_Q9,Exact_Q9,Jaccard_Q9,Human_Q10,LLM_Q10,Exact_Q10,Jaccard_Q10,Human_Q11,LLM_Q11,Exact_Q11,Jaccard_Q11,Human_Q12,LLM_Q12,Exact_Q12,Human_Q13,LLM_Q13,Exact_Q13,Human_Q14,LLM_Q14,Exact_Q14,Human_Q15,LLM_Q15,Exact_Q15,Human_Q16,LLM_Q16,Exact_Q16,Human_Q17,LLM_Q17,Exact_Q17,Human_Q18,LLM_Q18,Exact_Q18,Human_Q18A,LLM_Q18A,Exact_Q18A,Jaccard_Q18A
1954158345113174097,No,Yes,0,,Other,0,0.000000,Dating / Marriage,"Dating/marriage; Family/children; Friends/socializing; Gender issues, e.g. equality; Money/status",0,0.000000,Commentary Content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive,More regressive/traditional/restrictive,0,NO,Yes,0,,Men need to provide/succeed,0,0.000000,Women / Women's Behavior,Economic/status pressure; Men’s behavior; Women/feminism,0,0.000000,No clear solution,No clear solution,1,1.000000,Debate / Argument,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.000000,None of these apply,Connection/social interaction; Entertainment/escapism; Information seeking; Self expression/identity construction; Status seeking,0,0.000000,Generalizations about women,Mixed,0,No Justification,"Anecdotal examples, Presented as common sense, References external sources, such as other influencers",0,Mixed,Mixed,1,Negative,Negative,1,Positive,Neutral,0,No,Somewhat,0,NO,NO,1,,,,
1954188481585873209,No,Yes,0,,Other,0,0.000000,Dating/marriage,"Family/children; Fitness/self-improvement; Gender issues, e.g. equality; Money/status; Religion/morality",0,0.000000,Commentary/reaction content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead,Men need to be fully self-reliant; Men need to improve themselves; Men need to provide/succeed,0,0.000000,Men's behavior,Economic/status pressure; Men’s behavior,0,0.000000,More equality/respect for men,More self-discipline/fitness,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Motivational speech; Personal story,0,0.250000,Information seeking,Connection/social interaction; Status seeking,0,0.000000,Generalizations about men/women,Mixed,0,Presented as common sense,"Anecdotal examples, Presented as common sense, References religion/tradition",0,Mixed,Mixed,1,Negative,Negative,1,Positive,Neutral,0,No,No,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for audience to like the content; Calls for men to follow more traditional gender norms,0,0.500000
1954196373861003731,Yes,Yes,1,Other,Other,1,1.000000,"Friends/socializing; Gender issues, e.g. equality","Fitness/self-improvement; Gender issues, e.g. equality",0,0.333333,Motivational/self-help content,Motivational/self-help content,1,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to be fully self-reliant; Men need to not show emotions; Men need to provide/succeed,Men need to improve themselves,0,0.000000,Men’s behavior,Men’s behavior; Women/feminism,0,0.500000,Assert dominance/control; More equality/respect for men; More self-discipline/fitness,More self-discipline/fitness,0,0.333333,Advice/instruction; Motivational speech,Advice/instruction; Motivational speech,1,1.000000,Information seeking; Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.500000,Generalizations about men/women,No support,0,Presented as common sense,No Justification,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Neutral,0,Somewhat,No,0,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1954835680426635741,Yes,Yes,1,Shares something surprising,Shares something surprising,1,1.000000,Dating/marriage,"Dating/marriage; Gender issues, e.g. equality",0,0.500000,Commentary/reaction content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,NO,Yes,0,Not applicable,Men need to dominate/lead; Men need to improve themselves,0,0.000000,Women/feminism,Men’s behavior,0,0.000000,Other,Assert dominance/control; More self-discipline/fitness,0,0.000000,Advice/instruction; Commentary/opinion,Commentary/opinion; Motivational speech,0,0.333333,Information seeking,Status seeking,0,0.000000,Generalizations about men/women,No support,0,Presented as common sense,Presented as common sense,1,Neutral,Mixed,0,Negative,Negative,1,Positive,Positive,1,No,No,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1954860355793953085,No,No,1,,,,,Dating/marriage,"Dating/marriage; Family/children; Gender issues, e.g. equality; Money/status; Religion/morality",0,0.200000,"Commentary/reaction content, interview/conversational content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead; Other,Men need to provide/succeed,0,0.000000,Other; Women/feminism,Men’s behavior; Women/feminism,0,0.333333,Assert dominance/control,Building community; More wealth/status,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.500000,Entertainment/escapism; Self expression/identity construction,Connection/social interaction; Information seeking; Self expression/identity construction; Status seeking,0,0.200000,"Generalizations about men/women, moral/religious claims",Mixed,0,"Presented as common sense, references religion/tradition, other","Anecdotal examples, Presented as common sense, References religion/tradition",0,Mixed,Mixed,1,Negative,Negative,1,Positive,Positive,1,No,No,1,Yes,NO,0,Calls for men to follow more traditional gender norms; Calls for women to follow more traditional gender norms,,0,0.000000
1962749588588187787,Yes,Yes,1,Shares something surprising,Shares something surprising,1,1.000000,Fitness/self-improvement,"Dating/marriage; Gender issues, e.g. equality",0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Unclear,0,Men need to improve themselves,Mixed/unclear,0,0.000000,Men’s behavior,Men’s behavior; Women/feminism,0,0.500000,More self-discipline/fitness,No clear solution,0,0.000000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction; Commentary/opinion; Debate/argument,0,0.500000,Information seeking; Self expression/identity construction; Status seeking,Connection/social interaction; Information seeking,0,0.250000,Generalizations about men/women,Stories about men/women,0,Presented as common sense,Presented as common sense,1,Mixed,Negative,0,Negative,Negative,1,Positive,Mixed,0,Yes,No,0,Yes,NO,0,Calls for men to follow more traditional gender norms,,0,0.000000
1969310581648654500,Yes,Yes,1,Other; Shares something surprising,Other,0,0.500000,Dating/marriage; Religion/morality,"Dating/marriage; Gender issues, e.g. equality",0,0.333333,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Unclear,0,Men need to be fully self-reliant; Men need to dominate/lead; Men need to not show emotions; Other,Mixed/unclear,0,0.000000,Other; Women/feminism,Men’s behavior,0,0.000000,Assert dominance/control; Other,No clear solution,0,0.000000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction,0,0.333333,Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction,0,0.333333,"Generalizations about men/women, moral/religious claims",Generalizations about men/women,0,"References religion/tradition, Presented as common sense",No Justification,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Mixed,0,Yes,Somewhat,0,Yes,NO,0,Calls for men to follow more traditional gender norms; Other,,0,0.000000
1969363662281314544,Yes,Yes,1,Compelling question; Shares something surprising; Uses a news headline or social media trend as opener,Compelling question; Shares something surprising; Use of all CAPS,0,0.500000,Dating/marriage; Money/status,"Dating/marriage; Gender issues, e.g. equality; Mental health; Money/status",0,0.500000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men are disadvantaged/victims; Men need to be fully self-reliant; Men need to not show emotions; Men need to provide/succeed,Men need to be fully self-reliant; Men need to provide/succeed,0,0.500000,Economic/status pressure; Mental health/emotional struggle; Women/feminism,Economic/status pressure; Global political/social/cultural problems; Mental health/emotional struggle; Men’s behavior; Women/feminism,0,0.600000,Assert dominance/control; More equality/respect for men; Other,More wealth/status,0,0.000000,Advice/instruction; Commentary/opinion; News/telling facts,Advice/instruction; Commentary/opinion; Debate/argument; News/telling facts,0,0.750000,Information seeking; Self expression/identity construction; Status seeking,Connection/social interaction; Information seeking; Self expression/identity construction; Status seeking,0,0.750000,"Facts/statistics, Generalizations about men/women, Cultural/social observations",Mixed,0,"References data, Presented as common sense, Anecdotal examples","Presented as common sense, References data",0,Mixed,Mixed,1,Negative,Negative,1,Positive,Mixed,0,Yes,Yes,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1973440936542720469,Yes,Yes,1,Use of all CAPS,Shares something surprising; Use of all CAPS,0,0.500000,Dating/marriage,"Dating/marriage; Family/children; Fitness/self-improvement; Gender issues, e.g. equality; Mental health",0,0.200000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead; Other,Men need to be emotionally open,0,0.000000,Women/feminism,Mental health/emotional struggle; Men’s behavior; Women/feminism,0,0.333333,Assert dominance/control,More emotional growth/healing,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Debate/argument; Motivational speech; Personal story,0,0.400000,Entertainment/escapism; Self expression/identity construction,Connection/social interaction; Documentation of events; Information seeking; Self expression/identity construction; Status seeking,0,0.166667,Generalizations about men/women,Mixed,0,Presented as common sense,"Anecdotal examples, Presented as common sense",0,Neutral,Mixed,0,Negative,Negative,1,Positive,Positive,1,No,Yes,0,Yes,NO,0,Calls for men to follow more traditional gender norms; Other,,0,0.000000
1975078851945394590,Yes,Yes,1,Use of all CAPS,Shares something violent or gross; Use of all CAPS,0,0.500000,Dating / Marriage,Dating/marriage; Family/children; Fitness/self-improvement; Mental health; Money/status,0,0.000000,Commentary Content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive,More regressive/traditional/restrictive,0,NO,Unclear,0,,Mixed/unclear,0,0.000000,Women / Women's Behavior,Economic/status pressure; Mental health/emotional struggle; Men’s behavior; Women/feminism,0,0.000000,No clear solution,No clear solution,1,1.000000,Debate / Argument,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.000000,None of these apply,Connection/social interaction; Entertainment/escapism; Information seeking; Self expression/identity construction,0,0.000000,Generalizations about women,Mixed,0,No Justification,"Anecdotal examples, Presented as common sense",0,Positive,Negative,0,Unclear,Negative,0,Unclear,Positive,0,Yes,Yes,1,Yes,NO,0,Other,,0,0.000000
1975245528242729101,Yes,Yes,1,Uses all CAPS,Shares something violent or gross; Use of all CAPS,0,0.000000,Dating/marriage,Dating/marriage; Family/children; Fitness/self-improvement; Mental health; Money/status,0,0.200000,Commentary/reaction content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to be fully self-reliant; Men need to dominate/lead; Men need to improve themselves,Men need to dominate/lead; Men need to provide/succeed,0,0.250000,Women/feminism,Economic/status pressure; Global political/social/cultural problems; Mental health/emotional struggle; Men’s behavior; Women/feminism,0,0.200000,Assert dominance/control; More self-discipline/fitness,Assert dominance/control,0,0.500000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Personal story,0,0.666667,Information seeking,Connection/social interaction; Information seeking; Self expression/identity construction; Status seeking,0,0.250000,Mixed,Mixed,1,Presented as common sense,Presented as common sense,1,Positive,Mixed,0,Negative,Negative,1,Positive,Positive,1,Somewhat,Yes,0,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for politicians or social figures to do something; Calls for women to follow more traditional gender norms,0,0.000000
1976936284460351491,No,Yes,0,,Other,0,0.000000,Dating / Marriage,"Dating/marriage; Gender issues, e.g. equality",0,0.000000,Commentary Content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive,More regressive/traditional/restrictive,0,Yes,Unclear,0,"Mixed; Not to date ""Born Again"" women",Mixed/unclear,0,0.000000,Women / Women's Behavior,No clear problem is identified,0,0.000000,Assert dominance / control,No clear solution,0,0.000000,Debate / Argument,Advice/instruction; Commentary/opinion,0,0.000000,None of these apply,Connection/social interaction; Documentation of events; Self expression/identity construction,0,0.000000,Generalizations about women,Stories about men/women,0,No Justification,Anecdotal examples,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Neutral,0,Yes,Somewhat,0,NO,Yes,0,,Calls for men to follow more traditional gender norms,0,0.000000
1976943608214212735,Yes,Yes,1,Other,Other,1,1.000000,Dating/marriage; Religion/morality,"Gender issues, e.g. equality; Social issues, e.g. corruption",0,0.000000,Commentary/reaction content,Motivational/self-help content,0,"Yes, implicitly","Yes, explicitly",0,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,NO,Unclear,0,Not applicable,Mixed/unclear,0,0.000000,Kenyan or Nigerian political/social problems; Women/feminism,Kenyan or Nigerian political/social problems,0,0.500000,No clear solution,Social or political change,0,0.000000,Advice/instruction,Advice/instruction; Commentary/opinion,0,0.500000,Self expression/identity construction,Connection/social interaction; Self expression/identity construction,0,0.500000,Cultural/social observations,Mixed,0,No Justification,Presented as common sense,0,Positive,Mixed,0,Neutral,Negative,0,Unclear,Neutral,0,No,No,1,NO,NO,1,,,,
1976981658470388103,No,Yes,0,,Other,0,0.000000,Dating,"Gender issues, e.g. equality; Social issues, e.g. corruption",0,0.000000,,Motivational/self-help content,,"Yes, implicitly","Yes, explicitly",0,More regressive,More regressive/traditional/restrictive,0,NO,Unclear,0,,Mixed/unclear,0,0.000000,Women / Women's Behavior,Global political/social/cultural problems; Men’s behavior,0,0.000000,No clear solution,No clear solution,1,1.000000,Debate / Argument,Advice/instruction; Commentary/opinion; Debate/argument,0,0.000000,None of these apply,Connection/social interaction; Information seeking; Self expression/identity construction,0,0.000000,Generalizations about women,Cultural/social observations,0,No Justification,No Justification,1,Unclear,Mixed,0,Negative,Negative,1,Positive,Neutral,0,No,No,1,NO,NO,1,,,,
1977034206967378054,No,Yes,0,,Other,0,0.000000,Dating/marriage; Money/status,"Dating/marriage; Gender issues, e.g. equality",0,0.333333,Motivational/self-help content,Motivational/self-help content,1,"Yes, explicitly","Yes, explicitly",1,Mixed/unclear,More regressive/traditional/restrictive,0,Yes,Unclear,0,Men need to improve themselves,Mixed/unclear,0,0.000000,Other,Men’s behavior,0,0.000000,Other,No clear solution,0,0.000000,Advice/instruction,Advice/instruction; Debate/argument,0,0.500000,Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction,0,0.333333,Cultural/social observations,No support,0,No Justification,No Justification,1,Positive,Mixed,0,Neutral,Negative,0,Unclear,Neutral,0,No,No,1,Yes,NO,0,Other,,0,0.000000
2035227655516061989,No,Yes,0,,Use of all CAPS,0,0.000000,Dating/marriage; Money/status,"Dating/marriage; Family/children; Gender issues, e.g. equality",0,0.250000,Motivational/self-help content,Motivational/self-help content,1,"Yes, implicitly","Yes, explicitly",0,Mixed/unclear,More regressive/traditional/restrictive,0,Yes,Unclear,0,Men need to provide/succeed,Mixed/unclear,0,0.000000,Economic/status pressure,Women/feminism,0,0.000000,More wealth/status,More equality/respect for women,0,0.000000,Advice/instruction,Advice/instruction,1,1.000000,Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction,0,0.333333,No support,Stories about men/women,0,No Justification,No Justification,1,Unclear,Mixed,0,Unclear,Negative,0,Positive,Mixed,0,No,No,1,Yes,NO,0,Other,,0,0.000000
