Codebook question,Question ID,Type,Agreement metric,Score,Interpretation,Percent / exact agreement,Krippendorff's alpha,Jaccard,Valid rows,Column
Q10. How would you characterize the communication mode of this content? Choose all that apply.,Q10,Multi-select,Jaccard,0.354250,Weak agreement,0.045000,,0.354250,200,Q10. How would you characterize the communication mode of this content? Choose all that apply. Options: Advice/instruction / Personal story / Commentary/opinion / Debate/argument / Humor/satire / Motivational speech / News/telling facts / Other
Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Q11,Multi-select,Jaccard,0.296083,Weak agreement,0.045000,,0.296083,200,Q11. Which audience needs does the content aim to fulfill? Choose all that apply. Options: Entertainment/escapism / Information seeking / Connection/social interaction / Self expression/identity construction / Status seeking / Documentation of events / None of these apply
Q12. How does the content support its claims or messages?,Q12,Single-answer,Krippendorff's alpha,-0.064163,Weak agreement,0.121212,-0.064163,,198,Q12. How does the content support its claims or messages? Options: Generalizations about men/women / Personal experience / Stories about men/women / Cultural/social observations / Facts/statistics / Moral/religious claims / Mixed / No support / Other
Q13. How are the claims justified?,Q13,Single-answer,Krippendorff's alpha,0.142356,Weak agreement,0.320000,0.142356,,200,"Q13. How are the claims justified? Options: No justification / Anecdotal examples / Presented as common sense / References data / References religion/tradition / References external sources, such as other influencers / Other"
Q14. What is the general sentiment toward men?,Q14,Single-answer,Krippendorff's alpha,-0.030361,Weak agreement,0.280000,-0.030361,,200,Q14. What is the general sentiment toward men? Options: Negative / Positive / Mixed / Neutral / Unclear / Not mentioned
Q15. What is the general sentiment toward women?,Q15,Single-answer,Krippendorff's alpha,0.262352,Weak agreement,0.455000,0.262352,,200,Q15. What is the general sentiment toward women? Options: Negative / Positive / Mixed / Neutral / Unclear / Not mentioned
Q16. What is the general sentiment toward traditional gender norms?,Q16,Single-answer,Krippendorff's alpha,-0.076562,Weak agreement,0.135000,-0.076562,,200,Q16. What is the general sentiment toward traditional gender norms? Options: Negative / Positive / Mixed / Neutral / Unclear / Not mentioned
Q17. Does the content use fear or threat to help drive the message home?,Q17,Single-answer,Krippendorff's alpha,0.141404,Weak agreement,0.635000,0.141404,,200,Q17. Does the content use fear or threat to help drive the message home? Options: Yes / Somewhat / No
Q18. Does the content include any calls to action to the audience?,Q18,Single-answer,Krippendorff's alpha,0.163475,Weak agreement,0.625000,0.163475,,200,Q18. Does the content include any calls to action to the audience? Options: Yes / No
"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Q18A,Multi-select,Jaccard,0.135922,Weak agreement,0.097087,,0.135922,103,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply. Options: Calls for audience to like the content / Calls for audience to share the content / Calls for audience to follow the speaker on social media / Calls for men to follow more traditional gender norms / Calls for men to follow more equitable gender norms / Calls for women to follow more traditional gender norms / Calls for women to follow more equitable gender norms / Calls for politicians or social figures to do something / Calls for audience to vote in a different way / Other"
