Question ID,Question,Option,Valid rows,Human present count,LLM present count,Binary percent agreement,Binary Krippendorff alpha
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be fully self-reliant,200,17,5,0.900000,0.040404
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be emotionally open,200,22,22,0.920000,0.592441
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to not show emotions,200,10,1,0.955000,0.160785
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be equal partners,200,2,0,0.990000,-0.002513
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Mixed/unclear,200,9,12,0.925000,0.248021
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Other,200,27,0,0.865000,-0.069705
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Not applicable,200,66,0,0.670000,-0.194611
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Kenyan or Nigerian political/social problems,200,39,12,0.805000,0.125737
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Global political/social/cultural problems,200,18,6,0.890000,0.027261
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Western political/social influence,200,2,2,0.980000,-0.007576
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Women/feminism,200,78,24,0.690000,0.186143
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Men's behavior,200,80,9,0.605000,-0.138806
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Economic/status pressure,200,12,5,0.935000,0.203348
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Mental health/emotional struggle,200,61,36,0.775000,0.389099
Q8,Q8. What problem is being identified in the content? Choose all that apply.,No clear problem is identified,200,13,104,0.505000,-0.192987
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Other,200,30,2,0.860000,0.051291
Q9,Q9. What solution is being proposed? Choose all that apply.,Social or political change,200,11,5,0.960000,0.480469
Q9,Q9. What solution is being proposed? Choose all that apply.,Assert dominance/control,200,42,27,0.885000,0.598187
Q9,Q9. What solution is being proposed? Choose all that apply.,More wealth/status,200,5,6,0.975000,0.533770
Q9,Q9. What solution is being proposed? Choose all that apply.,More self-discipline/fitness,200,13,4,0.945000,0.325910
Q9,Q9. What solution is being proposed? Choose all that apply.,More emotional growth/healing,200,36,26,0.880000,0.543043
Q9,Q9. What solution is being proposed? Choose all that apply.,More equality/respect for men,200,16,6,0.950000,0.520202
Q9,Q9. What solution is being proposed? Choose all that apply.,More equality/respect for women,200,7,1,0.970000,0.236607
Q9,Q9. What solution is being proposed? Choose all that apply.,Building community,200,13,3,0.930000,0.090820
Q9,Q9. What solution is being proposed? Choose all that apply.,No clear solution,200,81,116,0.755000,0.511115
Q9,Q9. What solution is being proposed? Choose all that apply.,Other,200,26,6,0.900000,0.322351
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Advice/instruction,200,72,63,0.665000,0.252746
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Personal story,200,48,81,0.765000,0.463572
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Commentary/opinion,200,126,52,0.530000,0.050865
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Debate/argument,200,23,3,0.900000,0.179350
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Humor/satire,200,1,0,0.995000,0.000000
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Motivational speech,200,18,0,0.910000,-0.044503
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,News/telling facts,200,6,0,0.970000,-0.012690
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Other,200,1,1,1.000000,1.000000
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Entertainment/escapism,200,26,0,0.870000,-0.066845
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Information seeking,200,112,118,0.500000,-0.020460
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Connection/social interaction,200,66,0,0.670000,-0.194611
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Self expression/identity construction,200,101,81,0.530000,0.054693
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Status seeking,200,24,0,0.880000,-0.061170
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Documentation of events,200,1,0,0.995000,0.000000
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,None of these apply,200,24,1,0.875000,-0.064000
Q12,Q12. How does the content support its claims or messages?,Generalizations about men/women,200,88,58,0.710000,0.375957
Q12,Q12. How does the content support its claims or messages?,Personal experience,200,47,72,0.765000,0.439188
Q12,Q12. How does the content support its claims or messages?,Stories about men/women,200,6,0,0.970000,-0.012690
Q12,Q12. How does the content support its claims or messages?,Cultural/social observations,200,55,1,0.730000,-0.118459
Q12,Q12. How does the content support its claims or messages?,Facts/statistics,200,6,24,0.880000,0.137297
Q12,Q12. How does the content support its claims or messages?,Moral/religious claims,200,11,6,0.945000,0.325910
Q12,Q12. How does the content support its claims or messages?,Mixed,200,16,0,0.920000,-0.039063
Q12,Q12. How does the content support its claims or messages?,No support,200,18,39,0.795000,0.163265
Q12,Q12. How does the content support its claims or messages?,Other,200,2,0,0.990000,-0.002513
Q13,Q13. How are the claims justified?,No justification,200,62,38,0.670000,0.122200
Q13,Q13. How are the claims justified?,Anecdotal examples,200,56,72,0.710000,0.335306
Q13,Q13. How are the claims justified?,Presented as common sense,200,99,59,0.600000,0.165185
Q13,Q13. How are the claims justified?,References data,200,5,24,0.885000,0.147040
Q13,Q13. How are the claims justified?,References religion/tradition,200,8,6,0.970000,0.556995
Q13,Q13. How are the claims justified?,References external sources such as other influencers,200,2,1,0.985000,-0.005038
Q13,Q13. How are the claims justified?,Other,200,6,0,0.970000,-0.012690
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to like the content,200,0,0,1.000000,
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to share the content,200,0,0,1.000000,
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to follow the speaker on social media,200,0,0,1.000000,
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for men to follow more traditional gender norms,200,38,48,0.950000,0.852244
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for men to follow more equitable gender norms,200,9,12,0.965000,0.649077
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for women to follow more traditional gender norms,200,5,0,0.975000,-0.010127
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for women to follow more equitable gender norms,200,1,0,0.995000,0.000000
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for politicians or social figures to do something,200,3,5,0.990000,0.745536
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Calls for audience to vote in a different way,200,0,0,1.000000,
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",Other,200,35,7,0.860000,0.256983
