Flag type,Detail
human,"EDDY-012 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"EDDY-012 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"EDDY-034 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"EDDY-034 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"EDDY-034 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"EDDY-034 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"EDDY-034 Q10: normalized label/separator/case: raw=""Commentary"" -> ""Commentary/opinion"""
human,"EDDY-040 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"EDDY-040 Q2: normalized label/separator/case: raw=""Mental Health & Gender Issues"" -> ""Mental health, Gender issues"""
human,"EDDY-040 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"EDDY-040 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"EDDY-040 Q5: normalized label/separator/case: raw=""More progressive"" -> ""More progressive/equitable/expansive"""
human,"EDDY-040 Q7: normalized label/separator/case: raw=""Men need to be more emotionally open and heal"" -> ""Men need to be emotionally open"""
human,"EDDY-040 Q10: normalized label/separator/case: raw=""Commentary / Motivational Speech"" -> ""Commentary/opinion, Motivational speech"""
human,"EDDY-052 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"EDDY-052 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"EDDY-052 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"RIX-007 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"RIX-007 Q2: normalized label/separator/case: raw=""Money Status, Family, & Mental Health"" -> ""Family/children, Money/status, Mental health"""
human,"RIX-007 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"RIX-009 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"RIX-009 Q2: normalized label/separator/case: raw=""Corruption / Family Trauma"" -> ""Family/children, Social issues"""
human,"RIX-009 Q3: normalized label/separator/case: raw=""Commentary / Conversational Content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"RIX-028 Q8: normalized label/separator/case: raw=""Kenyan Social & Cultural Problems"" -> ""Kenyan or Nigerian political/social problems"""
human,"RIX-028 Q2: normalized label/separator/case: raw=""Family / Mental Health"" -> ""Family/children, Mental health"""
human,"RIX-028 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"RIX-028 Q3: normalized label/separator/case: raw=""Commentary / Self-help Content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"RIX-028 Q10: normalized label/separator/case: raw=""Commentary / Motivational Speech"" -> ""Commentary/opinion, Motivational speech"""
human,"RIX-072 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"RIX-072 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"RIX-072 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"RIX-072 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"RIX-072 Q10: unresolved noncanonical value: raw=""Conversational Content"" -> ""Conversational Content"""
human,"RIX-082 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"RIX-082 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"RIX-082 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"RIX-082 Q5: normalized label/separator/case: raw=""More progressive"" -> ""More progressive/equitable/expansive"""
human,"RIX-082 Q7: normalized label/separator/case: raw=""Men need to be more emotionally open and heal"" -> ""Men need to be emotionally open"""
human,"RIX-082 Q10: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/opinion"""
human,"RIX-088 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"RIX-088 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"RIX-088 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"RIX-088 Q5: normalized label/separator/case: raw=""More progressive"" -> ""More progressive/equitable/expansive"""
human,"RIX-088 Q7: normalized label/separator/case: raw=""Men need to be more emotionally open and heal"" -> ""Men need to be emotionally open"""
human,"RIX-088 Q10: normalized label/separator/case: raw=""Commentary Content / Motivational Speech"" -> ""Commentary/opinion, Motivational speech"""
human,"PHIL-001 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"PHIL-001 Q2: normalized label/separator/case: raw=""Family"" -> ""Family/children"""
human,"PHIL-001 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"PHIL-001 Q3: normalized label/separator/case: raw=""Conversational Content"" -> ""Interview/conversational content"""
human,"PHIL-001 Q10: unresolved noncanonical value: raw=""Conversational Content"" -> ""Conversational Content"""
human,"PHIL-002 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"PHIL-002 Q2: normalized label/separator/case: raw=""Mental Health / Trauma"" -> ""Mental health"""
human,"PHIL-002 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"PHIL-002 Q3: normalized label/separator/case: raw=""Conversational Content"" -> ""Interview/conversational content"""
human,"PHIL-002 Q10: unresolved noncanonical value: raw=""Conversational Content"" -> ""Conversational Content"""
human,"PHIL-005 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"PHIL-005 Q2: normalized label/separator/case: raw=""Social Issues / Corruption"" -> ""Social issues"""
human,"PHIL-005 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"PHIL-035 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"PHIL-035 Q2: normalized label/separator/case: raw=""Family / Social Issues"" -> ""Family/children, Social issues"""
human,"PHIL-035 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"PHIL-035 Q5: normalized label/separator/case: raw=""More Progressive"" -> ""More progressive/equitable/expansive"""
human,"PHIL-036 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"PHIL-036 Q2: normalized label/separator/case: raw=""Social Issues / Corruption"" -> ""Social issues"""
human,"PHIL-036 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-001 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
human,"KIBE-001 Q11: normalized label/separator/case: raw=""Identity Construction"" -> ""Self expression/identity construction"""
human,"KIBE-001 Q3: normalized label/separator/case: raw=""Conversational Content"" -> ""Interview/conversational content"""
human,"KIBE-001 Q5: normalized label/separator/case: raw=""More Progressive"" -> ""More progressive/equitable/expansive"""
human,"KIBE-001 Q7: normalized label/separator/case: raw=""Men need to be more emotionally open and heal"" -> ""Men need to be emotionally open"""
human,"KIBE-001 Q10: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/opinion"""
human,"KIBE-012 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-012 Q2: normalized label/separator/case: raw=""Dating / Sex"" -> ""Dating/marriage"""
human,"KIBE-012 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-012 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"KIBE-020 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-020 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-020 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"KIBE-020 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"KIBE-021 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-021 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-021 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"KIBE-021 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"KIBE-029 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-029 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-029 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"KIBE-029 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"KIBE-035 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-035 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-035 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"KIBE-035 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"KIBE-056 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"KIBE-056 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"KIBE-056 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"KIBE-056 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"1951568877998965117 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"1951568877998965117 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"1951568877998965117 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"1951568877998965117 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"1954158345113174097 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"1954158345113174097 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"1954158345113174097 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"1954158345113174097 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"1975078851945394590 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"1975078851945394590 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"1975078851945394590 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"1975078851945394590 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"1976936284460351491 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"1976936284460351491 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"1976936284460351491 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"1976936284460351491 Q7: normalized label/separator/case: raw=""Mixed, Not to date ""Born Again"" women"" -> ""Mixed/unclear"""
human,"1976936284460351491 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"2035341023287689308 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"2035341023287689308 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"2035341023287689308 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"2035341023287689308 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"2040414105522065830 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"2040414105522065830 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"2040414105522065830 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"2040414105522065830 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"2048016863561441660 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"2048016863561441660 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"2048016863561441660 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"2048016863561441660 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"2048031963504611687 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"2048031963504611687 Q3: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/reaction content"""
human,"2048031963504611687 Q5: normalized label/separator/case: raw=""More regressive"" -> ""More regressive/traditional/restrictive"""
human,"2048031963504611687 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"1976981658470388103 Q8: normalized label/separator/case: raw=""Women / Women's Behavior"" -> ""Women/feminism"""
human,"1976981658470388103 Q2: normalized label/separator/case: raw=""Dating"" -> ""Dating/marriage"""
human,"1976981658470388103 Q5: normalized label/separator/case: raw=""More Regressive"" -> ""More regressive/traditional/restrictive"""
human,"1976981658470388103 Q12: normalized label/separator/case: raw=""Generalizations about women"" -> ""Generalizations about men/women"""
human,"RIX-023 Q8: normalized label/separator/case: raw=""Mental Health"" -> ""Mental health/emotional struggle"""
human,"RIX-023 Q2: normalized label/separator/case: raw=""Mental Health / Trauma"" -> ""Mental health"""
human,"RIX-023 Q10: normalized label/separator/case: raw=""Commentary Content"" -> ""Commentary/opinion"""
human,"EDDY-016 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health"" -> ""Mental health, Gender issues"""
human,"EDDY-016 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"EDDY-028 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health"" -> ""Mental health, Gender issues"""
human,"EDDY-028 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"EDDY-031 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health, Family/children"" -> ""Family/children, Mental health, Gender issues"""
human,"EDDY-031 Q7: normalized label/separator/case: raw=""Men need to improve themselves, Men need to be emotionally open, Men need to provide/succeed"" -> ""Men need to provide/succeed, Men need to improve themselves, Men need to be emotionally open"""
human,"RIX-001 Q8: normalized label/separator/case: raw=""Men's behavior, Mental health/emotional struggle, Kenyan or Nigerian political/social problems, Global political/social/cultural problems"" -> ""Kenyan or Nigerian political/social problems, Global political/social/cultural problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-001 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health, Social issues, e.g. corruption"" -> ""Mental health, Gender issues, Social issues"""
human,"RIX-015 Q2: normalized label/separator/case: raw=""Social issues, e.g. corruption, Mental health, Family/children"" -> ""Family/children, Mental health, Social issues"""
human,"RIX-015 Q1A: normalized label/separator/case: raw=""Shares something surprising, Shares something violent or gross"" -> ""Shares something violent or gross, Shares something surprising"""
human,"RIX-054 Q2: normalized label/separator/case: raw=""Mental health, Family/children"" -> ""Family/children, Mental health"""
human,"RIX-054 Q1A: normalized label/separator/case: raw=""Shares something surprising, Shares something violent or gross"" -> ""Shares something violent or gross, Shares something surprising"""
human,"RIX-068 Q8: normalized label/separator/case: raw=""Men's behavior, Mental health/emotional struggle, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-068 Q2: normalized label/separator/case: raw=""Mental health, Friends/socializing, Religion/morality"" -> ""Friends/socializing, Mental health, Religion/morality"""
human,"RIX-068 Q1A: normalized label/separator/case: raw=""Shares something surprising, Shares something sexual"" -> ""Shares something sexual, Shares something surprising"""
human,"RIX-069 Q8: normalized label/separator/case: raw=""Men's behavior, Mental health/emotional struggle, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-069 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health, Social issues, e.g. corruption"" -> ""Mental health, Gender issues, Social issues"""
human,"RIX-079 Q8: normalized label/separator/case: raw=""Men's behavior, Mental health/emotional struggle, Kenyan or Nigerian political/social problems, Global political/social/cultural problems"" -> ""Kenyan or Nigerian political/social problems, Global political/social/cultural problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-079 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health, Social issues, e.g. corruption"" -> ""Mental health, Gender issues, Social issues"""
human,"PHIL-008 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/Children, Social issues, e.g. corruption"" -> ""Family/children, Gender issues, Social issues"""
human,"PHIL-008 Q9: normalized label/separator/case: raw=""More equality/respect for women, Social or political change"" -> ""Social or political change, More equality/respect for women"""
human,"PHIL-008 Q1A: normalized label/separator/case: raw=""Shares something surprising, Shares something violent or gross"" -> ""Shares something violent or gross, Shares something surprising"""
human,"PHIL-009 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality"" -> ""Gender issues"""
human,"PHIL-013 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/Children, Dating/marriage"" -> ""Dating/marriage, Family/children, Gender issues"""
human,"PHIL-025 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/Children"" -> ""Family/children, Gender issues"""
human,"PHIL-025 Q9: normalized label/separator/case: raw=""More emotional growth/healing, Building community, Social or political change"" -> ""Social or political change, More emotional growth/healing, Building community"""
human,"PHIL-037 Q2: normalized label/separator/case: raw=""Family/children, Social issues, e.g. corruption"" -> ""Family/children, Social issues"""
human,"KIBE-016 Q2: normalized label/separator/case: raw=""Family/children, Gender issues, e.g. equality"" -> ""Family/children, Gender issues"""
human,"KIBE-016 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Connection/social interaction"" -> ""Connection/social interaction, Self expression/identity construction"""
human,"KIBE-016 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction, Personal story"" -> ""Advice/instruction, Personal story, Commentary/opinion"""
human,"KIBE-019 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/children, Social issues, e.g. corruption"" -> ""Family/children, Gender issues, Social issues"""
human,"KIBE-019 Q7: normalized label/separator/case: raw=""Men need to be fully self-reliant, Men need to dominate/lead"" -> ""Men need to dominate/lead, Men need to be fully self-reliant"""
human,"KIBE-024 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/children, Social issues, e.g. corruption"" -> ""Family/children, Gender issues, Social issues"""
human,"KIBE-024 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Connection/social interaction"" -> ""Connection/social interaction, Self expression/identity construction"""
human,"KIBE-024 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"KIBE-049 Q2: normalized label/separator/case: raw=""Dating/marriage, Gender issues, e.g. equality"" -> ""Dating/marriage, Gender issues"""
human,"KIBE-049 Q7: normalized label/separator/case: raw=""Men need to dominate/lead, Men need to be fully self-reliant, Men are disadvantaged/victims"" -> ""Men need to dominate/lead, Men are disadvantaged/victims, Men need to be fully self-reliant"""
human,"KIBE-049 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"KIBE-050 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality"" -> ""Gender issues"""
human,"KIBE-050 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"KIBE-051 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Dating/marriage"" -> ""Dating/marriage, Gender issues"""
human,"KIBE-051 Q1A: normalized label/separator/case: raw=""Shares something surprising, Humor or sarcasm, Compelling question"" -> ""Compelling question, Humor or sarcasm, Shares something surprising"""
human,"KIBE-051 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction, Humor/satire"" -> ""Advice/instruction, Commentary/opinion, Humor/satire"""
human,"KIBE-054 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Money/status"" -> ""Money/status, Gender issues"""
human,"KIBE-054 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"KIBE-071 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Family/children"" -> ""Family/children, Gender issues"""
human,"KIBE-071 Q7: normalized label/separator/case: raw=""Men are disadvantaged/victims, Men need to dominate/lead"" -> ""Men need to dominate/lead, Men are disadvantaged/victims"""
human,"KIBE-071 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"1954098073262522452 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Dating/marriage, Mental health"" -> ""Dating/marriage, Mental health, Gender issues"""
human,"1954098073262522452 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Connection/social interaction, Information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
