Question ID,Type,Metric,Main score,Percent/exact agreement,Jaccard,Alpha,Valid rows,Candidate file
Q13,Multi-select,Jaccard,0.353333,0.310000,0.353333,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q13,Multi-select,Jaccard,0.349167,0.300000,0.349167,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q13,Multi-select,Jaccard,0.200000,0.200000,0.200000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q13,Multi-select,Jaccard,0.150000,0.150000,0.150000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q13,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q13,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q14,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,30,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q14,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q14,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,40,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q14,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q14,Single-answer,Krippendorff alpha,0.208745,0.370000,,0.208745,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q14,Single-answer,Krippendorff alpha,0.116167,0.300000,,0.116167,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q14,Single-answer,Krippendorff alpha,0.102651,0.300000,,0.102651,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q14,Single-answer,Krippendorff alpha,0.100734,0.295000,,0.100734,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q14,Single-answer,Krippendorff alpha,-0.001153,0.195000,,-0.001153,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q14,Single-answer,Krippendorff alpha,-0.012914,0.195000,,-0.012914,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q14,Single-answer,Krippendorff alpha,-0.012914,0.195000,,-0.012914,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q14,Single-answer,Krippendorff alpha,-0.030361,0.280000,,-0.030361,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q14,Single-answer,Krippendorff alpha,-0.134628,0.125000,,-0.134628,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q14,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q14,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q15,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,30,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q15,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q15,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,40,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q15,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q15,Single-answer,Krippendorff alpha,0.569619,0.710000,,0.569619,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q15,Single-answer,Krippendorff alpha,0.566249,0.700000,,0.566249,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q15,Single-answer,Krippendorff alpha,0.562780,0.700000,,0.562780,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q15,Single-answer,Krippendorff alpha,0.562780,0.700000,,0.562780,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q15,Single-answer,Krippendorff alpha,0.377282,0.540000,,0.377282,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q15,Single-answer,Krippendorff alpha,0.375332,0.540000,,0.375332,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q15,Single-answer,Krippendorff alpha,0.296706,0.485000,,0.296706,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q15,Single-answer,Krippendorff alpha,0.262352,0.455000,,0.262352,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q15,Single-answer,Krippendorff alpha,0.239193,0.470000,,0.239193,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q15,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q15,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q16,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,30,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q16,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q16,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,40,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q16,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q16,Single-answer,Krippendorff alpha,0.502738,0.645000,,0.502738,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q16,Single-answer,Krippendorff alpha,0.420209,0.610000,,0.420209,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q16,Single-answer,Krippendorff alpha,0.416843,0.590000,,0.416843,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q16,Single-answer,Krippendorff alpha,0.229491,0.440000,,0.229491,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q16,Single-answer,Krippendorff alpha,0.229491,0.440000,,0.229491,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q16,Single-answer,Krippendorff alpha,0.000644,0.280000,,0.000644,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q16,Single-answer,Krippendorff alpha,-0.055801,0.205000,,-0.055801,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q16,Single-answer,Krippendorff alpha,-0.076562,0.135000,,-0.076562,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q16,Single-answer,Krippendorff alpha,-0.097289,0.270000,,-0.097289,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q16,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q16,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q17,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,30,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q17,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q17,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,40,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q17,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q17,Single-answer,Krippendorff alpha,0.280265,0.690000,,0.280265,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q17,Single-answer,Krippendorff alpha,0.251014,0.750000,,0.251014,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q17,Single-answer,Krippendorff alpha,0.244998,0.695000,,0.244998,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q17,Single-answer,Krippendorff alpha,0.179654,0.645000,,0.179654,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q17,Single-answer,Krippendorff alpha,0.179654,0.645000,,0.179654,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q17,Single-answer,Krippendorff alpha,0.176306,0.690000,,0.176306,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q17,Single-answer,Krippendorff alpha,0.141404,0.635000,,0.141404,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q17,Single-answer,Krippendorff alpha,0.107218,0.515000,,0.107218,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q17,Single-answer,Krippendorff alpha,0.095238,0.780000,,0.095238,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q17,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q17,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q18,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,30,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
