file,comment_number,decision,reason,starting_text,comment_text
instagram_a_happy_women_s_day_documentary_announcement.csv,14,Keep,Related to the piece and/or scope; usable for audience reception coding.,"This is how you transform the world, by Centering the stories of the oppressed one conversation at a time. We must do better as a country. Thank you Phil for using your voice to ch","This is how you transform the world, by Centering the stories of the oppressed one conversation at a time. We must do better as a country. Thank you Phil for using your voice to champion change"
instagram_a_happy_women_s_day_documentary_announcement.csv,15,Keep,Related to the piece and/or scope; usable for audience reception coding.,Very touching and educative,Very touching and educative
instagram_a_happy_women_s_day_documentary_announcement.csv,16,Keep,Related to the piece and/or scope; usable for audience reception coding.,"@phil_director in the words of Oprah Winfrey, ""all our talents and gifts must have an angle of service to humanity, sth bigger than us, than profit and fame"", and this is exactly i","@phil_director in the words of Oprah Winfrey, ""all our talents and gifts must have an angle of service to humanity, sth bigger than us, than profit and fame"", and this is exactly it man. Much Respect Brother."
instagram_a_happy_women_s_day_documentary_announcement.csv,17,Borderline,Very short praise; related to the piece but limited coding value.,This is Soo good🔥👏👏,This is Soo good🔥👏👏
instagram_a_happy_women_s_day_documentary_announcement.csv,18,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Phil, Have your flowers 💐🙌Thank you for having this conversation.","Phil, Have your flowers 💐🙌Thank you for having this conversation."
instagram_a_happy_women_s_day_documentary_announcement.csv,19,Keep,Related to the piece and/or scope; usable for audience reception coding.,"As a rape victim ,I felt this one and you did good. Let's continue having these conversations. This is a good start. Getting solutions ❤️🔥","As a rape victim ,I felt this one and you did good. Let's continue having these conversations. This is a good start. Getting solutions ❤️🔥"
instagram_a_happy_women_s_day_documentary_announcement.csv,20,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Ngai i'm shocked 😯, thank you Phil for this insight","Ngai i'm shocked 😯, thank you Phil for this insight"
instagram_a_happy_women_s_day_documentary_announcement.csv,21,Borderline,Very short thanks; related to sharing but limited coding value.,Thank you @phil_director for sharing!,Thank you @phil_director for sharing!
instagram_a_happy_women_s_day_documentary_announcement.csv,22,Borderline,Short content reaction; likely usable for sentiment only.,A powerful film. Thank you for making this ❤️,A powerful film. Thank you for making this ❤️
instagram_a_happy_women_s_day_documentary_announcement.csv,23,Keep,Related to the piece and/or scope; usable for audience reception coding.,"👏👏👏as person who has walked a journey with those who were raped, I can tell you it's not easy, I used to have sleepless nights, most of the victims contracted HIV, others gave birt","👏👏👏as person who has walked a journey with those who were raped, I can tell you it's not easy, I used to have sleepless nights, most of the victims contracted HIV, others gave birth to kids who  were HIV + | It's a less y'all"
instagram_a_happy_women_s_day_documentary_announcement.csv,24,Keep,Related to the piece and/or scope; usable for audience reception coding.,Watching this for the little 9 year old girl who I met at work sexually abused but the mother hid the perpetrator. Il watch this for her. I still think about her,Watching this for the little 9 year old girl who I met at work sexually abused but the mother hid the perpetrator. Il watch this for her. I still think about her
instagram_a_happy_women_s_day_documentary_announcement.csv,25,Keep,Related to the piece and/or scope; usable for audience reception coding.,This was painful to watch but these stories must be told. Thank you Phil .,This was painful to watch but these stories must be told. Thank you Phil .
instagram_a_happy_women_s_day_documentary_announcement.csv,26,Borderline,Short content reaction; likely usable for sentiment only.,I watched this in the Morning and Weuh… but good job 🙌,I watched this in the Morning and Weuh… but good job 🙌
instagram_a_happy_women_s_day_documentary_announcement.csv,27,Keep,Related to the piece and/or scope; usable for audience reception coding.,Thank you so so much for this 🥺💔💔💔. We thank you kwa kupaza sauti for all the victims who’ve been silenced 💔 and for all women at large 🥺. This is gut-wrenching💔. #endfemicideke,Thank you so so much for this 🥺💔💔💔. We thank you kwa kupaza sauti for all the victims who’ve been silenced 💔 and for all women at large 🥺. This is gut-wrenching💔. #endfemicideke
instagram_a_happy_women_s_day_documentary_announcement.csv,28,Keep,Related to the piece and/or scope; usable for audience reception coding.,😭😭😭😭😭.... 💔 💔 💔 !!! I'm ANGRY! May God help me to forgive because every time I see yet another story of a defiled kid... It ..it..it... 😭 😭! I honestly feel like shooting down or b,😭😭😭😭😭.... 💔 💔 💔 !!! I'm ANGRY! May God help me to forgive because every time I see yet another story of a defiled kid... It ..it..it... 😭 😭! I honestly feel like shooting down or burning the heartless person putting the kid through a lifetime of emotional damage if they survive the act. I'm ANGRY!
instagram_a_happy_women_s_day_documentary_announcement.csv,29,Remove,Too thin/generic praise; mostly emoji/thanks.,👏👏👏 thank you,👏👏👏 thank you
instagram_a_happy_women_s_day_documentary_announcement.csv,30,Keep,Related to the piece and/or scope; usable for audience reception coding.,These stories need to be captured at told again and again on repeat...thank you for the crucial work you have and continue to do..wishing you and your team the strength to hear thi,These stories need to be captured at told again and again on repeat...thank you for the crucial work you have and continue to do..wishing you and your team the strength to hear this harrowing stories and the will to continue with this important work 😢
instagram_a_happy_women_s_day_documentary_announcement.csv,31,Keep,Related to the piece and/or scope; usable for audience reception coding.,"This story needs to be told a lot more, and it needs to be told well. This is amazing work you're doing here, Phil. I hope it the starting point of a much needed change.","This story needs to be told a lot more, and it needs to be told well. This is amazing work you're doing here, Phil. I hope it the starting point of a much needed change."
instagram_a_happy_women_s_day_documentary_announcement.csv,32,Keep,Related to the piece and/or scope; usable for audience reception coding.,Breaking but hopefull that these conversations will change the society ✊✊,Breaking but hopefull that these conversations will change the society ✊✊
instagram_a_happy_women_s_day_documentary_announcement.csv,33,Remove,Too thin/generic praise only.,Amazing work Phillo🙌❤️,Amazing work Phillo🙌❤️
instagram_a_happy_women_s_day_documentary_announcement.csv,34,Keep,Related to the piece and/or scope; usable for audience reception coding.,Woooow 👏🏾👏🏾👏🏾. It is amazing to see you going out and speaking loudly to the horror that is out here. The change starts with us. We can no longer turn a blind eye and pretend this ,Woooow 👏🏾👏🏾👏🏾. It is amazing to see you going out and speaking loudly to the horror that is out here. The change starts with us. We can no longer turn a blind eye and pretend this isn’t happening . Great work @phil_director
instagram_a_happy_women_s_day_documentary_announcement.csv,35,Keep,Related to the piece and/or scope; usable for audience reception coding.,Men must evolve and shed mindsets that not only bind them but bring horror to women and this world. It starts with bringing awareness. Thank you for lending your voice.,Men must evolve and shed mindsets that not only bind them but bring horror to women and this world. It starts with bringing awareness. Thank you for lending your voice.
instagram_a_happy_women_s_day_documentary_announcement.csv,36,Keep,Related to the piece and/or scope; usable for audience reception coding.,This is amazing albeit tearful to watch. We have beasts amongst us 😢😢,This is amazing albeit tearful to watch. We have beasts amongst us 😢😢
instagram_a_happy_women_s_day_documentary_announcement.csv,37,Keep,Related to the piece and/or scope; usable for audience reception coding.,As a health care worker. We witness so many things around sexual exploitation.  Its the most heartbreaking thing and it feels worse when we know its beyond your control and you can,As a health care worker. We witness so many things around sexual exploitation.  Its the most heartbreaking thing and it feels worse when we know its beyond your control and you can only do so much to help the victims. 🥲😢
instagram_a_happy_women_s_day_documentary_announcement.csv,38,Borderline,Positive but somewhat generic; limited coding value.,This is an amazing and culture changing conversation.  Kudos,This is an amazing and culture changing conversation.  Kudos
instagram_a_happy_women_s_day_documentary_announcement.csv,39,Remove,Too thin/generic praise only.,Dope work Phil 🔥,Dope work Phil 🔥
instagram_a_happy_women_s_day_documentary_announcement.csv,40,Borderline,Short awareness/praise reaction; limited coding value.,Thank you for bringing this awareness 🙏🏽 ❤️,Thank you for bringing this awareness 🙏🏽 ❤️
instagram_a_happy_women_s_day_documentary_announcement.csv,41,Remove,Too thin/generic praise only.,Good job Phil!!,Good job Phil!!
instagram_a_happy_women_s_day_documentary_announcement.csv,42,Remove,Too thin/generic praise only.,Good Work Phil👏👏,Good Work Phil👏👏
instagram_a_happy_women_s_day_documentary_announcement.csv,43,Keep,Related to the piece and/or scope; usable for audience reception coding.,"As a woman and a mum to a little girl, thank you🔥👏","As a woman and a mum to a little girl, thank you🔥👏"
instagram_a_happy_women_s_day_documentary_announcement.csv,44,Keep,Related to the piece and/or scope; usable for audience reception coding.,Oohh God😢 so sad to watch | Good work Phil👏🔥,Oohh God😢 so sad to watch | Good work Phil👏🔥
instagram_a_happy_women_s_day_documentary_announcement.csv,45,Keep,Related to the piece and/or scope; usable for audience reception coding.,Ooooh wow🥺🥺🥺🙌This brings up memories 😢😢😢😥we embrace scar's ❤️Thank you @phil_director for looking out for those girl's 🤍✨❤️I wish in our time we had someone to seek justice or to e,Ooooh wow🥺🥺🥺🙌This brings up memories 😢😢😢😥we embrace scar's ❤️Thank you @phil_director for looking out for those girl's 🤍✨❤️I wish in our time we had someone to seek justice or to even take us to the hospital but Nooo that didn't define us 🙌🙌we keep moving irregardless ☺️💃💃💃I love this initiative 🙏🙏🙏
instagram_a_happy_women_s_day_documentary_announcement.csv,46,Remove,"Creator/producer reply, not audience reception.","@shikujulia Thank you for being strong, we hope we can do better for you and the generations to come🙏🏾","@shikujulia Thank you for being strong, we hope we can do better for you and the generations to come🙏🏾"
instagram_a_happy_women_s_day_documentary_announcement.csv,47,Keep,Related to the piece and/or scope; usable for audience reception coding.,Thank you for creating time to give them a listening ear.Thank you for creating awareness.Thank you for prioritizing a girl child.Thank you Phil❤️🙌👏,Thank you for creating time to give them a listening ear.Thank you for creating awareness.Thank you for prioritizing a girl child.Thank you Phil❤️🙌👏
instagram_a_happy_women_s_day_documentary_announcement.csv,48,Remove,Too thin/generic thanks; not enough substance.,Thank you @phil_director  for this is 👏🔥,Thank you @phil_director  for this is 👏🔥
instagram_a_happy_women_s_day_documentary_announcement.csv,49,Keep,Related to the piece and/or scope; usable for audience reception coding.,Excellent work Phil.i see increasing gradient in your work. @phil_director your work will pay grande in world’s screens❤️,Excellent work Phil.i see increasing gradient in your work. @phil_director your work will pay grande in world’s screens❤️
instagram_a_happy_women_s_day_documentary_announcement.csv,50,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Makofi, makofi, makofi Bro! Thank you for doing this crucial work. 🔥","Makofi, makofi, makofi Bro! Thank you for doing this crucial work. 🔥"
instagram_a_happy_women_s_day_documentary_announcement.csv,51,Keep,Related to the piece and/or scope; usable for audience reception coding.,Amazing work Phil! The stories are harrowing. I hope that we’ll do better as a people 😕,Amazing work Phil! The stories are harrowing. I hope that we’ll do better as a people 😕
instagram_a_happy_women_s_day_documentary_announcement.csv,52,Keep,Related to the piece and/or scope; usable for audience reception coding.,Thank you Phil for this👏👏we need to keep having these conversations 🙌,Thank you Phil for this👏👏we need to keep having these conversations 🙌
instagram_a_happy_women_s_day_documentary_announcement.csv,53,Keep,Related to the piece and/or scope; usable for audience reception coding.,This is wonderful. How I would love to be part of this.,This is wonderful. How I would love to be part of this.
instagram_a_happy_women_s_day_documentary_announcement.csv,54,Keep,Related to the piece and/or scope; usable for audience reception coding.,Blessings in disguise .. | This is an incredible journey you’ve embarked on I hope it opens our eyes to make a difference. | Kudos @phil_director I’m a nurse I believe my service c,Blessings in disguise .. | This is an incredible journey you’ve embarked on I hope it opens our eyes to make a difference. | Kudos @phil_director I’m a nurse I believe my service can be invaluable. | Can we side chat please?
instagram_a_happy_women_s_day_documentary_announcement.csv,55,Keep,Related to the piece and/or scope; usable for audience reception coding.,Good job on bringing the awareness…👏👏👏 | Thank you for giving them a platform to tell their stories.We pray for healing and justice to them.,Good job on bringing the awareness…👏👏👏 | Thank you for giving them a platform to tell their stories.We pray for healing and justice to them.
instagram_a_happy_women_s_day_documentary_announcement.csv,56,Remove,"Creator/producer reply, not audience reception.",We save one girl at a time… Thank you for the important work you are doing🙏🏾🙏🏾,We save one girl at a time… Thank you for the important work you are doing🙏🏾🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,57,Remove,"Creator/producer reply, not audience reception.",@brownsugarpellet I would want some one to give my daughter a listening ear as well🙏🏾,@brownsugarpellet I would want some one to give my daughter a listening ear as well🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,58,Remove,"Creator/producer reply, not audience reception.",@itsmugambi Thank you bro🙏🏾 we will keep telling the stories,@itsmugambi Thank you bro🙏🏾 we will keep telling the stories
instagram_a_happy_women_s_day_documentary_announcement.csv,59,Remove,Too thin/generic praise only.,Good job 👏,Good job 👏
instagram_a_happy_women_s_day_documentary_announcement.csv,60,Keep,Related to the piece and/or scope; usable for audience reception coding.,This is so painful. As a survivor of sexual violence I appreciate that we are having these conversations.,This is so painful. As a survivor of sexual violence I appreciate that we are having these conversations.
instagram_a_happy_women_s_day_documentary_announcement.csv,61,Borderline,Short positive reaction; limited coding value.,Thank you for this important piece @phil_director ❤️,Thank you for this important piece @phil_director ❤️
instagram_a_happy_women_s_day_documentary_announcement.csv,62,Borderline,Short generic praise; limited coding value.,"👏🏽 👏🏽 👏🏽 Incredible work, thank you!","👏🏽 👏🏽 👏🏽 Incredible work, thank you!"
instagram_a_happy_women_s_day_documentary_announcement.csv,63,Borderline,Short positive reaction; limited coding value.,Thank you for giving voice to this...,Thank you for giving voice to this...
instagram_a_happy_women_s_day_documentary_announcement.csv,64,Keep,Related to the piece and/or scope; usable for audience reception coding.,"This is sooo painful to watch.... 😢😢, what's happening 😭... May we find safety in all this ... ❤️","This is sooo painful to watch.... 😢😢, what's happening 😭... May we find safety in all this ... ❤️"
instagram_a_happy_women_s_day_documentary_announcement.csv,65,Remove,Too thin/generic praise only.,Good job👏,Good job👏
instagram_a_happy_women_s_day_documentary_announcement.csv,66,Remove,Too thin/generic praise only.,Oh Phil! This is wonderful 🙌🔥,Oh Phil! This is wonderful 🙌🔥
instagram_a_happy_women_s_day_documentary_announcement.csv,67,Keep,Related to the piece and/or scope; usable for audience reception coding.,@phil_director Thank you so much we take one day at a time.,@phil_director Thank you so much we take one day at a time.
instagram_a_happy_women_s_day_documentary_announcement.csv,68,Remove,"Creator/producer reply, not audience reception.",@ba_tafari1 Thank you🙏🏾,@ba_tafari1 Thank you🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,69,Remove,"Creator/producer reply, not audience reception.",@rowleengitau Thank you. We must have these conversations,@rowleengitau Thank you. We must have these conversations
instagram_a_happy_women_s_day_documentary_announcement.csv,70,Remove,"Creator/producer reply, not audience reception.",@valquinns Thank you🙏🏾,@valquinns Thank you🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,71,Remove,"Creator/producer reply, not audience reception.",@missmaksi Thank you,@missmaksi Thank you
instagram_a_happy_women_s_day_documentary_announcement.csv,72,Keep,Related to the piece and/or scope; usable for audience reception coding.,Wooooow! I love this. Hearing these stories and people speaking about it takes the blinds off our minds and hearts. Thank you 🙏,Wooooow! I love this. Hearing these stories and people speaking about it takes the blinds off our minds and hearts. Thank you 🙏
instagram_a_happy_women_s_day_documentary_announcement.csv,73,Remove,"Creator/producer reply, not audience reception.",@nyandia_gachago Thank you so much🙏🏾,@nyandia_gachago Thank you so much🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,74,Remove,"Creator/producer reply, not audience reception.",@kelreety Thank you🙏🏾🙏🏾🙏🏾,@kelreety Thank you🙏🏾🙏🏾🙏🏾
instagram_a_happy_women_s_day_documentary_announcement.csv,75,Remove,"Creator/producer reply, not audience reception.",@susanmosago Thank you,@susanmosago Thank you
instagram_a_happy_women_s_day_documentary_announcement.csv,76,Remove,"Creator/producer reply, not audience reception.",@yelayelo Thank you so much🙏🏾,@yelayelo Thank you so much🙏🏾
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,1,Keep,Related to the piece and/or scope; usable for audience reception coding.,Some people are just happy with one. The guy who gets his dream car (girl) will cherish it with everything he has. He will polish it and make sure everything is perfect all the tim,Some people are just happy with one. The guy who gets his dream car (girl) will cherish it with everything he has. He will polish it and make sure everything is perfect all the time.  | The rich (spoiled) guy that has multiple (whatever) has to divide his attention between them all. Not one is special to him. He doesn’t have the time to focus on one because he has so many.  | When you can’t full devote all your undivided attention something’s will definitely fall through the cracks.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,2,Keep,Related to the piece and/or scope; usable for audience reception coding.,I know what you’re saying but cars are not people with their own personality and so on.  |  | If women didn’t have that it would be lame. |  | If you can figure out how to be openl,"I know what you’re saying but cars are not people with their own personality and so on.  |  | If women didn’t have that it would be lame. |  | If you can figure out how to be openly with more than one, it’s possible and much more fulfilling than just buying another thing."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,3,Keep,Related to the piece and/or scope; usable for audience reception coding.,"True love isn’t about variety, it’s about loyalty. A man who truly loves invests in one heart… that’s passion, not brokenness 💯","True love isn’t about variety, it’s about loyalty. A man who truly loves invests in one heart… that’s passion, not brokenness 💯"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,4,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Comparing women to cars is already where the logic falls apart. Love isn’t about collecting options, it’s about choosing one person fully. Some men aren’t “restricted"", they’re int","Comparing women to cars is already where the logic falls apart. Love isn’t about collecting options, it’s about choosing one person fully. Some men aren’t “restricted"", they’re intentional. Depth over variety."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,5,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Brokenness? Sickness? Nah. Some men just have options and the capacity to handle them. If you love cars, you don’t park one in the garage for life and act like the showroom doesn’t","Brokenness? Sickness? Nah. Some men just have options and the capacity to handle them. If you love cars, you don’t park one in the garage for life and act like the showroom doesn’t exist. You appreciate variety, performance, different drives. The problem isn’t wanting more it’s lying about it. If you’re built for one, cool. If you’re built for a fleet, own it."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,6,Keep,Related to the piece and/or scope; usable for audience reception coding.,You're just casually comparing women with cars. The hate is deep rooted.,You're just casually comparing women with cars. The hate is deep rooted.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,7,Keep,Related to the piece and/or scope; usable for audience reception coding.,"If you really think having several women makes you a man, you already lost. As a man, have something going on in your life other than just focusing on women...","If you really think having several women makes you a man, you already lost. As a man, have something going on in your life other than just focusing on women..."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,8,Keep,Related to the piece and/or scope; usable for audience reception coding.,"In order for men to be able to reach that kind of level where he has access to many women, he has to be on the 1% and which majority are not there yet. | Status is which makes men ","In order for men to be able to reach that kind of level where he has access to many women, he has to be on the 1% and which majority are not there yet. | Status is which makes men attract all kinds of women. | Men need to have status first in order for them to get to the next level."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,9,Keep,Related to the piece and/or scope; usable for audience reception coding.,"For satisfaction and internal ,only one loveable girl is enough because our soul except only one as his mate other are extra rush in mind","For satisfaction and internal ,only one loveable girl is enough because our soul except only one as his mate other are extra rush in mind"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,10,Keep,Related to the piece and/or scope; usable for audience reception coding.,Some men have other things to think about other than their dicks. Some men just value themselves enough to know that they can also love themselves more than cars. Some men just val,Some men have other things to think about other than their dicks. Some men just value themselves enough to know that they can also love themselves more than cars. Some men just value themselves like that.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,11,Keep,Related to the piece and/or scope; usable for audience reception coding.,Mens becareful of whom you sleep with ! Sex is spiritual. It can make you or break you! So as much as @kibeandy is your king of advice..this one ☝️ today i disagree with.,Mens becareful of whom you sleep with ! Sex is spiritual. It can make you or break you! So as much as @kibeandy is your king of advice..this one ☝️ today i disagree with.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,12,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Hiyo mindset Yako ni expensive Mzee.  | Do not ever lose your focus because of some few inches of body part, I mean we have other great body parts too like the brain, the nose and ","Hiyo mindset Yako ni expensive Mzee.  | Do not ever lose your focus because of some few inches of body part, I mean we have other great body parts too like the brain, the nose and Many others"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,13,Keep,Related to the piece and/or scope; usable for audience reception coding.,"capitalism dicapasitated our cognition and abandoned our nation-ship (Culture), hashish, traditionally monogamy was seen as deficiency and polygamy was wealth. you are right on the","capitalism dicapasitated our cognition and abandoned our nation-ship (Culture), hashish, traditionally monogamy was seen as deficiency and polygamy was wealth. you are right on the brokeness part, sickness maybe the christians"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,14,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Discipline bois, learn to be disciplined. Get your 4 women and settle.","Discipline bois, learn to be disciplined. Get your 4 women and settle."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,15,Remove,Generic quote about women; not clearly a reaction to the post or masculinity argument.,A woman is like a tea bag  you never know how strong she is until she gets in hot water,A woman is like a tea bag  you never know how strong she is until she gets in hot water
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,16,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Treating hearts like a car collection is a bold strategy, but most men just can't afford the ""maintenance"" costs of multiple models. One engine is usually enough to keep life runni","Treating hearts like a car collection is a bold strategy, but most men just can't afford the ""maintenance"" costs of multiple models. One engine is usually enough to keep life running!"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,17,Keep,Related to the piece and/or scope; usable for audience reception coding.,"What a man thinken is what he becomes,real mean are out here chasing real dreams not entertaining how many women he should have or cars, because his all efforts is on how to produc","What a man thinken is what he becomes,real mean are out here chasing real dreams not entertaining how many women he should have or cars, because his all efforts is on how to produce solutions to daily life challenges 💯💪"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,18,Remove,Meta comment about being blocked; not substantive reaction to the topic.,"Wacha ni si comment, uni block kama Amerix.","Wacha ni si comment, uni block kama Amerix."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,19,Keep,Related to the piece and/or scope; usable for audience reception coding.,"It's called self respect, some  men don't want their bodies to be seen by everyone, mind you once a woman sleeps with a man the respect is thrown away, instead of saying Mr so,she ","It's called self respect, some  men don't want their bodies to be seen by everyone, mind you once a woman sleeps with a man the respect is thrown away, instead of saying Mr so,she will call by your first name"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,20,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Women are human beings with feelings, not cars to be owned by men.Gosh, women need to normalise hating men!Women you are better off alone with your cats than with stupid men like t","Women are human beings with feelings, not cars to be owned by men.Gosh, women need to normalise hating men!Women you are better off alone with your cats than with stupid men like this!Tujipende please!"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,21,Keep,Related to the piece and/or scope; usable for audience reception coding.,In nature's software a man was given the power to impregnate at infinity(poly)...I mean he can impregnate at any point but  | Women conceive a seed at a time(mono),In nature's software a man was given the power to impregnate at infinity(poly)...I mean he can impregnate at any point but  | Women conceive a seed at a time(mono)
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,22,Keep,Related to the piece and/or scope; usable for audience reception coding.,"She's dating you because she needs your help, not your 💕","She's dating you because she needs your help, not your 💕"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,23,Keep,Related to the piece and/or scope; usable for audience reception coding.,People aren’t cars. Some men value depth over variety. Loyalty isn’t brokenness; it’s a choice.,People aren’t cars. Some men value depth over variety. Loyalty isn’t brokenness; it’s a choice.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,24,Keep,Related to the piece and/or scope; usable for audience reception coding.,Everything is spiritual. Some men jaut dont want to deal with the many spirits from different women.,Everything is spiritual. Some men jaut dont want to deal with the many spirits from different women.
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,25,Keep,Related to the piece and/or scope; usable for audience reception coding.,"You're misleading men into having an abundance mindset,  |  | You're a bad guy men.","You're misleading men into having an abundance mindset,  |  | You're a bad guy men."
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,26,Borderline,Very short analogy response; related but thin.,If you don't love cars you can have only 1,If you don't love cars you can have only 1
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,27,Keep,Related to the piece and/or scope; usable for audience reception coding.,"Cars are more important than women anyday and everyday, women like you should be compared to the lowest comparison of the grid","Cars are more important than women anyday and everyday, women like you should be compared to the lowest comparison of the grid"
tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman.csv,28,Keep,Related to the piece and/or scope; usable for audience reception coding.,Women should be compared to cows nevertheless,Women should be compared to cows nevertheless
